x_val,y_added,y_removed,y_combined
2,3,2,4
9,1,2,2
8,2,0,2
148,1,1,2
24,2,0,2
4,1,1,1
13,1,1,1
16,1,0,2
32,0,2,1
35,1,1,1
433,1,1,1
1341,1,1,1
194,1,1,1
326,1,1,1
85,0,1,2
87,2,0,1
3,1,0,1
258,1,0,1
259,0,1,1
10,1,0,1
394,1,0,1
14,1,0,1
910,0,1,1
151,0,1,1
27,0,1,1
1828,1,0,1
421,0,1,1
170,1,0,1
171,1,0,1
48,1,0,1
309,0,1,1
57,1,0,1
197,1,0,1
709,0,1,1
203,1,0,1
75,0,1,1
81,1,0,1
480,1,0,1
96,0,1,1
244,1,0,1
511,0,1,1
1,0,0,1
6,0,0,1
12,0,0,1
402,0,1,0
28,1,0,0
413,0,0,1
29,0,0,1
160,1,0,0
550,0,0,1
2088,0,1,0
172,0,1,0
303,0,1,0
177,0,1,0
949,0,1,0
182,0,1,0
72,0,1,0
1223,0,0,1
342,0,0,1
89,0,1,0
1371,0,1,0
95,0,0,1
225,1,0,0
2147,1,0,0
104,1,0,0
361,1,0,0
1130,1,0,0
1769,1,0,0
109,0,1,0
505,1,0,0
893,0,1,0
