x_val,y_added,y_removed,y_combined
0,8,8,11
1,1,1,3
2,1,2,2
420,2,0,2
-421,2,0,2
7,0,2,1
15,2,0,1
18,1,1,1
37,1,0,2
44,1,1,1
-202,1,1,1
318,1,1,1
218,1,1,1
220,1,1,1
233,0,2,1
108,1,1,1
-136,1,1,1
3,1,0,1
135,1,0,1
-246,1,0,1
139,0,1,1
23,1,0,1
-230,1,0,1
27,0,1,1
-88,1,0,1
49,0,1,1
51,1,0,1
199,1,0,1
72,0,1,1
-182,1,0,1
332,0,1,1
215,1,0,1
106,0,1,1
-273,1,0,1
241,1,0,1
6,0,0,1
12,0,0,1
10,0,0,1
145,0,1,0
146,0,1,0
31,0,1,0
417,1,0,0
-221,0,1,0
169,0,0,1
64,0,1,0
71,0,0,1
334,0,0,1
338,0,1,0
347,1,0,0
354,1,0,0
234,1,0,0
237,1,0,0
236,0,0,1
-13,0,1,0
246,1,0,0
-5,0,1,0
-1,0,0,1
