x_val,y_added,y_removed,y_combined
sp != NULL,148,99,247
!AtEnd(),63,45,108
fip->field_passcount==1,60,40,100
0,47,29,76
fip->field_passcount==0,39,26,65
fip->field_readcount==TIFF_VARIABLE2,36,24,60
sizeof(uint32)==4,36,24,60
sp != 0,34,23,57
sizeof(uint64)==8,30,20,50
fip->field_readcount==TIFF_VARIABLE,24,16,40
sizeof(double)==8,24,16,40
fip->field_readcount==1,21,14,35
result.full(),19,15,34
sp->tbuflen >= npixels,18,12,30
s == 0,18,12,30
sizeof(float)==4,15,10,25
sizeof(uint16)==2,15,10,25
tif->tif_flags&TIFF_BIGTIFF,15,10,25
sizeof(int32)==4,15,10,25
sp->in_buffer_togo>0,15,10,25
n>0,14,10,24
"statement, regex",14,10,24
cc%rowlen == 0,12,8,20
sizeof(sp->stream.avail_out)==4,12,8,20
sizeof(uint8)==1,12,8,20
count<0x20000000,12,8,20
pi->prcno < pi->pirlvl->numprcs,12,8,20
fip->field_readcount>=1,12,8,20
count<0x40000000,12,8,20
sizeof(sp->stream.avail_in)==4,12,8,20
x >= 0,9,6,15
o->field_passcount==0,9,6,15
sizeof(int8)==1,9,6,15
sizeof(int16)==2,9,6,15
(cc%(4*stride))==0,9,6,15
(tif->tif_flags&TIFF_NOREADRAW)==0,9,6,15
(cc%(2*stride))==0,9,6,15
OJPEG_BUFFER>=2,9,6,15
(tif->tif_flags&TIFF_BUFFERMMAP)==0,9,6,15
sizeof(int64)==8,9,6,15
&ptr != this,8,6,14
"statement, ::testing::internal::ExitedUnsuccessfully, regex",8,6,14
"::testing::internal::DoubleNearPredFormat, val1, val2, abs_error",7,5,12
"::testing::internal::CmpHelperNE, val1, val2",7,5,12
"::testing::internal:: EqHelper<GTEST_IS_NULL_LITERAL_(expected)>::Compare, expected, actual",7,5,12
"::testing::internal::IsHRESULTSuccess, (expr)",7,5,12
"::testing::internal::CmpHelperSTRCASENE, s1, s2",7,5,12
"::testing::internal::CmpHelperSTREQ, expected, actual",7,5,12
"::testing::internal::CmpHelperFloatingPointEQ<float>, expected, actual",7,5,12
"::testing::internal::CmpHelperSTRCASEEQ, expected, actual",7,5,12
"::testing::internal::CmpHelperGT, val1, val2",7,5,12
"::testing::internal::CmpHelperFloatingPointEQ<double>, expected, actual",7,5,12
"::testing::internal::IsHRESULTFailure, (expr)",7,5,12
"::testing::internal::CmpHelperLE, val1, val2",7,5,12
_Ret.second,8,4,12
"::testing::internal::CmpHelperGE, val1, val2",7,5,12
"::testing::internal::CmpHelperSTRNE, s1, s2",7,5,12
sp->decodepfunc != NULL,7,5,12
"::testing::internal::CmpHelperLT, val1, val2",7,5,12
rowsize > 0,6,4,10
dec->numcomps == 3 || dec->numcomps == 4,6,4,10
jas_matrix_numrows(c1) == numrows && jas_matrix_numcols(c1) == numcols && jas_matrix_numrows(c2) == numrows && jas_matrix_numcols(c2) == numcols,6,4,10
sp->libjpeg_session_active!=0,6,4,10
jas_matrix_numrows(c1) == numrows && jas_matrix_numrows(c2) == numrows,6,4,10
 tv->count == 1 ,6,4,10
iccprof,6,4,10
threshold >= 0,6,4,10
n >= 0 && n < 32,6,4,10
rnd >=0 && rnd < i,5,5,10
count<0x80000000,6,4,10
stream->ptr_ - stream->bufstart_ <= stream->bufsize_,6,4,10
stream->cnt_ > 0,6,4,10
td->td_planarconfig == PLANARCONFIG_CONTIG,6,4,10
cblk->numimsbs >= 0,6,4,10
