x_val,y_added,y_removed,y_combined
1,1,1,4
2,2,1,2
512,1,1,1
5,1,1,1
141,1,1,1
270,1,1,1
535,1,1,1
538,1,1,1
89,1,1,1
243,1,1,1
253,1,1,1
6,1,0,1
652,1,0,1
142,1,0,1
16,0,1,1
402,1,0,1
403,1,0,1
663,0,1,1
27,0,1,1
29,1,0,1
416,1,0,1
1570,1,0,1
932,0,1,1
424,0,1,1
302,1,0,1
48,1,0,1
311,0,1,1
187,0,1,1
61,1,0,1
80,1,0,1
3805,1,0,1
606,1,0,1
110,1,0,1
367,1,0,1
1018,1,0,1
251,1,0,1
3,0,1,0
921,0,0,1
2333,1,0,0
1821,0,1,0
545,0,1,0
673,0,0,1
289,0,0,1
166,0,0,1
167,0,1,0
1323,0,1,0
4780,0,1,0
830,1,0,0
961,0,0,1
1605,1,0,0
205,1,0,0
464,0,1,0
600,1,0,0
1368,0,1,0
350,0,1,0
109,0,1,0
373,0,1,0
