x_val,y_added,y_removed,y_combined
0,4,4,7
65,2,2,2
5,1,2,2
11,2,0,2
149,1,1,1
23,1,1,1
26,1,1,1
28,1,1,1
37,0,2,1
167,1,1,1
45,1,1,1
54,1,1,1
60,1,1,1
6,1,0,1
138,1,0,1
13,0,1,1
16,1,0,1
-111,1,0,1
17,1,0,1
19,1,0,1
21,1,0,1
44,0,1,1
180,0,1,1
53,1,0,1
-193,0,1,1
64,0,1,1
321,1,0,1
67,1,0,1
733,1,0,1
96,1,0,1
97,0,1,1
110,1,0,1
-5,1,0,1
130,1,0,0
20,0,0,1
31,0,1,0
424,0,1,0
43,1,0,0
49,0,1,0
-322,1,0,0
359,0,1,0
103,0,0,1
-536,0,0,1
-12,1,0,0
-1,0,1,0
