x_val,y_added,y_removed,y_combined
QOpenGLFunctions::isInitialized(d_ptr),142,142,284
QGLFunctions::isInitialized(d_ptr),97,97,194
!isEmpty(),81,81,162
rn != ARMRegisters::pc,60,60,120
isSSE2Present(),57,57,114
!BadReg(rm),56,56,112
0,54,54,108
 rc==SQLITE_OK ,51,51,102
 cursorHoldsMutex(pCur) ,48,48,96
!BadReg(rd),47,47,94
pPager,44,44,88
 sqlite3_mutex_held(pBt->mutex) ,44,44,88
 sqlite3_mutex_held(db->mutex) ,42,42,84
" sqlite3SchemaMutexHeld(db, iDb, 0) ",42,42,84
 pFile ,42,42,84
 pOp->p1>=0 && pOp->p1<p->nCursor ,41,41,82
 assert_pager_state(pPager) ,41,41,82
false,39,39,78
object,38,38,76
m_value,35,35,70
(cond == Overflow) || (cond == Signed) || (cond == Zero) || (cond == NonZero),35,35,70
src2 == TMP_REG2,34,34,68
 sqlite3_mutex_held(pCtx->s.db->mutex) ,34,34,68
 sqlite3_mutex_held(pPage->pBt->mutex) ,34,34,68
!BadReg(rn),32,32,64
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,28,28,56
m_ptr,27,27,54
 p!=0 ,27,27,54
node,26,26,52
value,26,26,52
v != 0,25,25,50
!(reinterpret_cast<intptr_t>(instruction) & 1),24,24,48
!atEnd(),24,24,48
!(reinterpret_cast<intptr_t>(target) & 1),24,24,48
 db!=0 ,23,23,46
" !ExprHasProperty(pExpr, EP_IntValue) ",23,23,46
arg & SLJIT_MEM,23,23,46
src1 == TMP_REG1 && !(flags & SRC2_IMM),22,22,44
isMainThread(),22,22,44
v,22,22,44
character,21,21,42
 argc==1 ,21,21,42
 sqlite3_mutex_held(p->db->mutex) ,21,21,42
(cond == Zero) || (cond == NonZero),21,21,42
rd != ARMRegisters::pc,20,20,40
 sqlite3_mutex_held(mem3.mutex) ,20,20,40
p,20,20,40
 iDb>=0 && iDb<db->nDb ,20,20,40
 pCur->eState==CURSOR_VALID ,20,20,40
 sqlite3PagerIswriteable(pPage->pDbPage) ,20,20,40
from.isSet(),20,20,40
 !pagerUseWal(pPager) ,20,20,40
!ptr || m_ptr != ptr,20,20,40
reg <= ARMRegisters::pc,20,20,40
