x_val,y_added,y_removed,y_combined
assert,7552,7530,15082
ASSERT,4834,4834,9668
Q_ASSERT,857,857,1714
SLJIT_ASSERT,666,666,1332
g_assert,660,660,1320
ASSERT_WITH_SECURITY_IMPLICATION,263,263,526
g_assert_cmpint,238,238,476
g_assert_cmpstr,175,175,350
COMPILE_ASSERT,130,130,260
Q_ASSERT_X,94,94,188
ASSERT_UNUSED,70,70,140
FT_ASSERT,63,63,126
Q_STATIC_ASSERT,60,60,120
RELEASE_ASSERT,53,53,106
Q_STATIC_ASSERT_X,43,43,86
assert_pager_state,41,41,82
ASSERT_VALID_CODE_POINTER,36,36,72
SLJIT_COMPILE_ASSERT,35,35,70
g_assert_cmpuint,18,18,36
assertEqualsAsNumber,18,18,36
assertEqualsAsUTF8String,17,17,34
ASSERT_VALID_CODE_OFFSET,16,16,32
assertEqualsAsBoolean,14,14,28
ASSERT_WITH_MESSAGE,14,14,28
CASSERT,14,14,28
assertEqualsAsCharactersPtr,13,13,26
ASSERT_PRED_FORMAT2,12,12,24
QTEST_ASSERT,12,12,24
META_ASSERT,10,10,20
ASSERT_GC_OBJECT_INHERITS,9,9,18
g_assert_cmpfloat,8,8,16
assertionWordBoundary,6,6,12
assertCellInfo,6,6,12
expensive_assert,6,6,12
compile_assert_matchingpath,5,5,10
assertTrue,4,4,8
advanceAndASSERT,4,4,8
ASSERT_ARG,4,4,8
assertTruncateConstraint,3,3,6
UNUSED_ASSERTION_VARIABLE,3,3,6
assertTile,2,2,4
assertNode,2,2,4
ASSERT_DEATH,2,2,4
ASSERT_PRED_FORMAT1,2,2,4
assertElement,2,2,4
Q_STATIC_ASSERT_PRIVATE_JOIN,2,2,4
compile_assert_backtrackingpath,2,2,4
GOOGLE_COMPILE_ASSERT,2,2,4
find_firstassertedchar,2,2,4
assertStyleSheetForId,2,2,4
ASSERT_TRUE,2,2,4
proc_importance_assertion_begin_with_msg,2,2,4
assert_info,2,2,4
assertParentIndex,2,2,4
assertDocumentLoader,1,1,2
assertEnabled,1,1,2
assertCondition,1,1,2
RELEASE_ASSERT_WITH_MESSAGE,1,1,2
assertConnectedSubrameCountIsConsistent,1,1,2
assertPaused,1,1,2
assertEditableElement,1,1,2
m_assertion,1,1,2
ASSERT_EXIT,1,1,2
assertFrameWithDocumentLoader,1,1,2
static_assert,1,1,2
assertEditableNode,1,1,2
assertScriptExecutionContextForOrigin,1,1,2
assertRegisterIsInThisObject,1,1,2
GOOGLE_GLOG_COMPILE_ASSERT,1,1,2
assertObjectIsDeletedWhenTestFinishes,1,1,2
LOG_ASSERT,1,1,2
assertion,1,1,2
ASSERT_GC_OBJECT_LOOKS_VALID,1,1,2
assertFrame,1,1,2
assertDocument,1,1,2
assertHTMLElement,1,1,2
ASSERT_PRED_FORMAT3,1,1,2
proc_importance_assertion_complete,1,1,2
advanceAndASSERTIgnoringCase,1,1,2
__ASSERT_ALWAYS,1,1,2
