x_val,y_added,y_removed,y_combined
 cursorHoldsMutex(pCur) ,246,191,437
0,187,158,345
 sqlite3_mutex_held(pPage->pBt->mutex) ,200,145,345
 sqlite3_mutex_held(db->mutex) ,205,131,336
 rc==SQLITE_OK ,198,138,336
 sqlite3_mutex_held(pBt->mutex) ,195,131,326
 i>=0 && i<p->nCursor ,114,145,259
 sqlite3_mutex_held(pCtx->s.db->mutex) ,136,119,255
callback,126,122,248
 p ,139,101,240
 pFile ,134,91,225
 iDb>=0 && iDb<db->nDb ,116,100,216
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,128,86,214
 p->magic==VDBE_MAGIC_INIT ,99,110,209
 pTos>=p->aStack ,65,140,205
Z_TYPE(rv) == IS_INDIRECT,93,93,186
 !db->mallocFailed ,105,80,185
pPager,115,70,185
 sqlite3_mutex_held(p->db->mutex) ,108,73,181
 pOp->p1>=0 && pOp->p1<p->nCursor ,111,67,178
" sqlite3SchemaMutexHeld(db, iDb, 0) ",110,65,175
 pC!=0 ,109,61,170
 v!=0 ,94,71,165
 assert_pager_state(pPager) ,105,60,165
 pCur->eState==CURSOR_VALID ,93,70,163
 p!=0 ,99,64,163
 sqlite3PagerIswriteable(pPage->pDbPage) ,86,72,158
 argc==1 ,88,69,157
 !MEMDB ,75,62,137
 id!=0 ,70,66,136
 n>0 ,72,56,128
 sqlite3BtreeHoldsMutex(p) ,74,51,125
 rc!=SQLITE_DONE ,65,59,124
 pPage->isInit ,57,64,121
 db!=0 ,76,34,110
 pOp->p1>=0 && pOp->p1<db->nDb ,57,52,109
 v ,63,43,106
 pTab!=0 ,55,47,102
 pOp->p3>0 && pOp->p3<=p->nMem ,50,49,99
 sqlite3_mutex_held(mem.mutex) ,56,42,98
" !ExprHasProperty(pExpr, EP_IntValue) ",58,39,97
 pC->deferredMoveto==0 ,55,40,95
 p->apCsr[i]!=0 ,43,52,95
 pOp->p2>0 ,55,40,95
 p->id==SQLITE_MUTEX_RECURSIVE || sqlite3_mutex_notheld(p) ,50,41,91
VALID(format),44,44,88
 i>=0 ,40,45,85
 pPager!=0 ,41,43,84
 pEList!=0 ,47,37,84
 !pagerUseWal(pPager) ,50,32,82
 id ,43,38,81
 pCur->pVtabCursor ,43,38,81
 p->pEList ,42,39,81
 pPager->state>=PAGER_SHARED ,40,40,80
 sqlite3_mutex_held(pCur->pBtree->db->mutex) ,46,34,80
 (pMem->flags & MEM_RowSet)==0 ,50,30,80
 locktype<=SHARED_LOCK ,39,39,78
 pPager->state>=PAGER_RESERVED ,38,40,78
 pPager->journalOpen ,32,45,77
 pOp->p3>0 ,45,32,77
 pTabList->nSrc==1 ,38,38,76
 pC->pCursor!=0,46,30,76
 pIn1->flags&MEM_Int ,44,30,74
 pFile!=0 ,40,33,73
 id>=0 && id<SQLITE_FAULTINJECTOR_COUNT ,40,33,73
cb,43,30,73
 pC->isTable ,43,30,73
 (pH->htsize & (pH->htsize-1))==0 ,36,36,72
 sqlite3BtreeHoldsAllMutexes(db) ,45,27,72
 sqlite3BtreeHoldsAllMutexes(pParse->db) ,42,29,71
PHP_REGEX_NOPE,28,42,70
 p->pSegments==0 ,43,25,68
src2 == TMP_REG2,68,0,68
 n>=0 ,33,34,67
 nColumn==1 ,30,36,66
 pOp->p2<=p->nMem ,34,31,65
 pOp->p1>0 ,37,28,65
EG(exception),61,3,64
self,32,32,64
stream != NULL,26,37,63
 pX!=0 ,33,30,63
 pList!=0 ,34,28,62
 p->nRef>0 ,40,22,62
" !ExprHasProperty(pExpr, EP_xIsSelect) ",38,24,62
 omitTable==0 ,31,31,62
 xHash!=0 ,32,30,62
 pPager->needSync ,29,32,61
 pH!=0 ,34,26,60
 (p->btreeMask & (1<<pOp->p1))!=0 ,32,28,60
 p->nOp>0 ,32,28,60
 pBt->inTransaction==TRANS_WRITE ,34,26,60
 iDb>=0 ,35,24,59
 IsVirtual(pTab) ,35,24,59
 pPg->nRef>0 ,28,31,59
 pPage->nOverflow==0 ,29,29,58
 pNew!=0 ,31,27,58
 iDb<db->nDb ,32,25,57
 pIdx->pSchema==pTab->pSchema ,31,26,57
 mem.mutex!=0 ,32,25,57
 pWal->writeLock ,35,21,56
 id->isOpen ,18,36,54
 argc==3 ,28,26,54
 pBt->autoVacuum ,28,25,53
 pOp->p4type==P4_INT32 ,33,20,53
 db->mallocFailed ,32,20,52
 pFile->locktype!=NO_LOCK || locktype==SHARED_LOCK ,27,25,52
 EIGHT_BYTE_ALIGNMENT(pMem) ,33,19,52
 locktype!=RESERVED_LOCK || pFile->locktype==SHARED_LOCK ,27,25,52
 amt>0 ,30,22,52
 pPager->pInJournal==0 ,30,22,52
 nCell<nMaxCells ,27,25,52
 (pageSize & 7)==0 ,26,26,52
 p==0 || p->magic==VDBE_MAGIC_INIT ,26,25,51
 pName->nSrc==1 ,26,25,51
 !sqlite3MallocFailed() ,20,31,51
 pgno!=0 ,25,26,51
0 < i && i <= m->g->nsub,20,30,50
 locktype!=PENDING_LOCK ,25,25,50
 pPager->eState!=PAGER_ERROR ,30,20,50
 p->wantToLock>0 ,27,22,49
 iDummy>0 ,28,21,49
 rc==SQLITE_OK || rc==SQLITE_NOMEM ,29,20,49
pPager->fd->pMethods||pPager->tempFile,26,23,49
 iIndex>=0 && iIndex<p->nIndex ,32,17,49
 pPager->errCode==SQLITE_OK ,31,18,49
 !dlrAtEnd(pReader) ,28,21,49
 pOp->p3<=p->nMem ,24,24,48
 (rc&0xff)==rc ,26,22,48
 sqlite3PagerIswriteable(pParent->pDbPage) ,28,20,48
 pPager->state!=PAGER_UNLOCK ,23,25,48
 db ,24,24,48
 pTab->pSelect==0 ,25,23,48
SQLITE_IOCAP_ATOMIC64K==(65536>>8),27,21,48
 isOpen(pPager->jfd) ,29,19,48
SQLITE_IOCAP_ATOMIC512==(512>>8),27,21,48
 pNos>=p->aStack ,14,33,47
 pTerm!=0 ,26,21,47
 pCur->idx>=0 && pCur->idx<pCur->pPage->nCell ,21,26,47
 rc!=SQLITE_OK ,27,20,47
 pMem->z!=0 ,25,22,47
 pTab ,24,22,46
ms != NULL,23,23,46
 p->nPendingData==0 ,28,17,45
 pOp->p1<=p->nMem ,24,21,45
 !pBt->readOnly ,19,26,45
 p->nRef==0 ,28,17,45
 p->id==SQLITE_MUTEX_FAST || p->id==SQLITE_MUTEX_RECURSIVE ,24,21,45
 pFrom->pTab==0 ,27,18,45
src1 == TMP_REG1 && !(flags & SRC2_IMM),44,0,44
 rc==SQLITE_OK || ppStmt==0 || *ppStmt==0 ,28,16,44
 pTriggerStack->pTab ,20,24,44
 pCur->idx>=0 && pCur->idx<pPage->nCell ,20,24,44
 sqlite3_mutex_held(pcache.mutex) ,22,22,44
 sqlite3_mutex_held(pcache_g.mutex) ,22,22,44
 argc==1 || argc==2 ,25,19,44
 p->pBt->pPager!=0 ,24,20,44
other,22,22,44
 pC->iDb>=0 ,25,18,43
 ((Fts3Table *)pCsr->base.pVtab)->pSegments==0 ,27,16,43
"!""Invalid flags argument""",24,19,43
 pTable!=0 ,22,20,42
 pC->isTable==0 ,24,18,42
 pPage!=0 ,22,20,42
 n+iDummy>0 ,24,18,42
 (pTos->flags & MEM_Dyn)==0 ,12,30,42
VALID(self),21,21,42
 pTab->nCol>0 ,20,22,42
 pParse->disableColCache>0 ,24,18,42
 !pPager->tempFile ,23,19,42
 iLookAhead!=YYNOCODE ,25,17,42
 pPage->pBt!=0 ,23,19,42
 *pPgno!=PENDING_BYTE_PAGE(pBt) ,21,20,41
 pParse->pNewTable==0 ,23,18,41
 pCur->pPage->nCell==0 ,19,22,41
 pH->htsize>0 ,23,17,40
 (p->btreeMask & (((yDbMask)1)<<pOp->p1))!=0 ,20,20,40
 pTable ,20,20,40
 pPager->state>=SHARED_LOCK ,20,20,40
 sqlite3_mutex_held(pCtx->pOut->db->mutex) ,39,1,40
TK_NE==OP_Ne,22,18,40
 i>0 ,25,15,40
TK_EQ==OP_Eq,22,18,40
 iCol==-1 || (iCol>=0 && iCol<pTab->nCol) ,20,20,40
 db->init.busy ,20,20,40
pCur,22,18,40
 pPager->eState==PAGER_OPEN ,25,15,40
 iSpace<=pBt->pageSize*5 ,18,21,39
 pBt!=0 ,22,17,39
