x_val,y_added,y_removed,y_combined
1,20,8,31
2,21,9,23
3,11,5,15
5,10,5,12
4,7,6,10
6,6,6,11
16,10,1,9
36,6,6,8
10,6,1,12
15,6,3,10
9,6,3,9
22,6,3,9
19,6,3,6
65,6,2,7
45,7,2,5
8,5,2,6
17,5,3,5
43,6,1,6
48,6,2,5
42,4,3,5
11,4,2,5
12,3,2,6
13,4,2,5
20,5,2,4
25,4,3,4
54,4,2,5
18,4,1,5
59,5,0,5
78,4,2,4
32,4,0,5
37,4,1,4
38,2,4,3
46,3,3,3
49,2,3,4
66,3,3,3
30,3,3,2
40,4,0,4
57,1,3,4
74,3,2,3
94,3,2,3
223,3,3,2
7,3,0,4
23,3,1,3
27,2,2,3
29,3,1,3
33,4,0,3
68,3,1,3
75,2,2,3
89,3,2,2
92,1,3,3
140,3,0,4
157,2,2,3
158,2,2,3
169,2,3,2
179,2,3,2
21,2,0,4
31,2,2,2
39,2,1,3
63,2,2,2
64,3,0,3
82,2,2,2
91,2,1,3
142,2,2,2
156,1,3,2
181,2,1,3
330,3,1,2
495,2,2,2
24,0,2,3
26,1,1,3
35,2,1,2
53,2,1,2
62,2,1,2
69,2,0,3
70,2,0,3
76,3,1,1
84,1,2,2
88,2,1,2
100,2,0,3
106,2,1,2
110,2,1,2
126,2,1,2
136,1,2,2
141,2,1,2
187,2,1,2
190,1,2,2
214,1,2,2
366,2,0,3
538,2,1,2
14,1,1,2
28,3,0,1
41,1,1,2
50,1,2,1
55,2,0,2
56,0,2,2
72,1,1,2
103,1,2,1
108,2,0,2
120,0,2,2
124,2,0,2
129,1,1,2
130,1,1,2
133,2,0,2
134,1,2,1
149,2,1,1
155,2,0,2
189,1,2,1
195,2,1,1
196,1,2,1
212,2,1,1
215,1,2,1
230,1,2,1
267,1,2,1
293,1,1,2
334,0,3,1
340,2,1,1
34,2,0,1
51,1,1,1
58,1,1,1
60,1,1,1
67,1,0,2
77,0,2,1
79,1,0,2
80,2,0,1
87,1,1,1
104,0,1,2
105,1,1,1
107,1,1,1
113,2,0,1
128,1,1,1
135,1,1,1
137,0,2,1
152,1,0,2
154,1,1,1
159,2,0,1
167,1,1,1
173,1,1,1
194,2,0,1
199,1,1,1
203,1,1,1
218,1,1,1
240,2,0,1
242,1,1,1
255,1,1,1
259,1,1,1
268,0,1,2
2317,1,1,1
279,1,1,1
280,1,1,1
294,1,1,1
315,2,0,1
358,1,1,1
392,1,1,1
415,1,1,1
423,1,1,1
488,1,1,1
491,1,1,1
521,1,1,1
569,1,1,1
648,1,1,1
658,1,1,1
730,1,1,1
742,1,1,1
750,0,2,1
845,1,1,1
925,1,1,1
1070,1,1,1
1201,1,1,1
1242,1,1,1
1390,1,1,1
1470,1,1,1
1805,1,1,1
47,1,0,1
71,1,1,0
81,1,0,1
85,0,1,1
86,1,0,1
90,1,0,1
93,1,0,1
98,1,0,1
99,1,0,1
102,0,1,1
112,1,0,1
114,1,0,1
119,0,1,1
122,1,0,1
125,1,0,1
132,1,0,1
138,1,0,1
146,1,0,1
147,1,1,0
153,1,0,1
160,1,0,1
168,1,0,1
183,0,1,1
185,1,0,1
186,1,0,1
191,1,0,1
200,1,0,1
206,0,1,1
208,1,0,1
210,1,0,1
216,1,0,1
217,1,0,1
219,0,2,0
225,1,0,1
229,1,0,1
237,1,0,1
244,1,0,1
245,1,0,1
247,1,0,1
261,1,0,1
263,1,0,1
264,1,0,1
271,1,0,1
275,1,0,1
281,0,1,1
290,1,0,1
296,0,1,1
307,1,0,1
314,0,1,1
316,1,0,1
327,1,0,1
336,0,1,1
337,0,1,1
346,1,1,0
386,1,0,1
387,1,0,1
390,1,0,1
411,1,0,1
421,1,0,1
429,1,0,1
438,1,0,1
440,1,0,1
444,0,1,1
470,0,1,1
520,0,1,1
552,1,0,1
603,1,0,1
623,1,0,1
659,1,0,1
668,1,0,1
856,1,0,1
908,0,1,1
951,0,1,1
965,0,1,1
976,1,0,1
1001,0,1,1
1047,1,0,1
1195,1,0,1
1224,0,1,1
1253,1,0,1
1255,1,0,1
1327,0,1,1
1410,1,0,1
1756,1,0,1
1858,1,0,1
2001,1,0,1
44,0,1,0
52,0,0,1
61,0,1,0
4194,0,1,0
111,0,1,0
115,0,1,0
123,1,0,0
131,1,0,0
143,0,1,0
144,0,1,0
2191,0,1,0
151,0,1,0
166,1,0,0
171,0,1,0
174,1,0,0
176,0,1,0
180,0,0,1
182,0,1,0
193,0,1,0
2074,0,0,1
201,0,1,0
207,1,0,0
209,0,1,0
211,0,0,1
220,1,0,0
221,0,1,0
232,0,1,0
234,0,1,0
235,0,1,0
248,1,0,0
250,0,1,0
253,0,1,0
258,0,1,0
269,1,0,0
273,0,1,0
282,0,1,0
298,1,0,0
302,0,1,0
309,0,1,0
313,0,1,0
320,0,1,0
322,0,1,0
323,0,1,0
329,0,1,0
354,0,1,0
363,0,1,0
374,1,0,0
376,0,0,1
377,0,1,0
379,0,1,0
2450,1,0,0
406,0,1,0
422,0,1,0
434,0,1,0
459,0,1,0
463,0,1,0
466,1,0,0
490,1,0,0
494,0,1,0
501,0,0,1
539,0,0,1
558,0,1,0
574,1,0,0
587,0,1,0
624,0,1,0
2710,0,1,0
664,0,1,0
720,0,1,0
728,0,1,0
743,0,1,0
769,0,1,0
807,1,0,0
809,0,1,0
824,1,0,0
831,0,1,0
851,0,0,1
859,0,1,0
916,0,1,0
935,0,1,0
964,1,0,0
980,1,0,0
3078,0,0,1
1052,0,1,0
1088,1,0,0
1120,1,0,0
3292,1,0,0
1256,0,1,0
