x_val,y_added,y_removed,y_combined
0,110,48,144
1,45,25,59
2,28,14,32
3,25,15,30
4,27,15,27
5,20,7,19
6,17,8,19
7,13,9,13
13,10,8,13
11,8,6,13
9,9,8,7
8,7,5,10
25,6,4,9
30,7,4,8
10,7,4,7
12,7,5,6
16,4,7,7
15,6,4,7
23,5,5,6
24,7,2,7
21,4,7,4
14,5,5,4
18,5,3,5
22,3,6,4
-1,5,2,6
19,2,6,4
44,2,5,4
34,4,3,3
47,4,3,3
48,4,2,4
-4,3,3,4
26,4,0,5
29,4,3,2
63,3,3,3
28,2,3,3
17,2,2,3
27,2,2,3
39,1,3,3
41,3,3,1
45,2,2,3
50,1,4,2
74,1,5,1
137,3,2,2
33,2,2,2
55,3,0,3
122,2,2,2
-3,3,1,2
-2,2,1,3
92,1,3,1
100,1,2,2
111,3,1,1
20,2,1,1
40,2,0,2
49,2,0,2
67,1,2,1
-61,1,2,1
-15,2,0,2
31,1,2,0
32,2,0,1
35,1,1,1
46,1,1,1
51,1,1,1
-497,1,1,1
64,1,1,1
95,0,1,2
123,1,1,1
126,1,1,1
154,1,1,1
166,1,1,1
177,1,1,1
218,1,1,1
249,1,1,1
-10,0,2,1
-5,1,1,1
36,0,2,0
38,1,0,1
59,0,1,1
61,1,0,1
66,0,1,1
73,1,0,1
77,0,1,1
90,1,0,1
-392,1,0,1
1552,0,1,1
138,1,0,1
142,0,1,1
145,1,0,1
147,1,0,1
149,0,1,1
176,0,1,1
-1219,1,0,1
319,1,0,1
-1625,0,1,1
-80,1,0,1
-75,0,1,1
-73,1,0,1
952,0,1,1
-70,1,0,1
-1536,0,1,1
-35,1,0,1
-26,1,0,1
-24,1,0,1
-19,0,1,1
-11,1,0,1
-8,1,0,1
-7,1,0,1
42,0,1,0
43,0,1,0
53,1,0,0
54,0,1,0
58,0,1,0
60,0,0,1
68,0,0,1
83,0,1,0
84,1,0,0
85,0,1,0
99,1,0,0
128,0,1,0
136,0,1,0
139,0,1,0
140,1,0,0
146,1,0,0
-365,0,1,0
174,1,0,0
180,0,0,1
195,1,0,0
206,1,0,0
207,0,0,1
224,1,0,0
268,0,1,0
288,0,1,0
-175,0,0,1
351,0,1,0
-150,0,1,0
-1605,1,0,0
-67,0,1,0
-56,1,0,0
-1074,0,1,0
985,1,0,0
-25,0,1,0
-17,1,0,0
