x_val,y_added,y_removed,y_combined
env,170,136,306
cls,170,136,306
mid,170,136,306
 cursorHoldsMutex(pCur) ,75,75,150
pool != NULL,63,63,126
 sqlite3_mutex_held(pBt->mutex) ,63,63,126
 pOp->p1>=0 && pOp->p1<p->nCursor ,60,60,120
 sqlite3_mutex_held(db->mutex) ,57,57,114
 sqlite3_mutex_held(pPage->pBt->mutex) ,51,51,102
 pFile ,51,51,102
 sqlite3_mutex_held(pCtx->s.db->mutex) ,51,51,102
0,45,45,90
 rc==SQLITE_OK ,45,45,90
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,42,42,84
 id!=0 ,39,39,78
" !ExprHasProperty(pExpr, EP_IntValue) ",36,36,72
 sqlite3_mutex_held(p->db->mutex) ,36,36,72
 p!=0 ,33,33,66
 v!=0 ,33,33,66
 (pMem->flags & MEM_RowSet)==0 ,30,30,60
 pCur->eState==CURSOR_VALID ,30,30,60
 sqlite3_mutex_held(mem3.mutex) ,30,30,60
 sqlite3PagerIswriteable(pPage->pDbPage) ,30,30,60
 !db->mallocFailed ,27,27,54
 db!=0 ,27,27,54
 argc==1 ,24,24,48
 p->magic==VDBE_MAGIC_INIT ,24,24,48
 iDb>=0 && iDb<db->nDb ,24,24,48
 EIGHT_BYTE_ALIGNMENT(pMem) ,21,21,42
 p->nRef>0 ,21,21,42
entry != NULL,21,21,42
 stream ,21,21,42
 locktype<=SHARED_LOCK ,21,21,42
 pEList!=0 ,21,21,42
 sqlite3BtreeHoldsMutex(p) ,21,21,42
 v ,21,21,42
p,18,18,36
 stream && stream->cursor ,18,18,36
 pOp->p1>=0 && pOp->p1<db->nDb ,18,18,36
 sqlite3_mutex_held(pcache1.mutex) ,18,18,36
 sqlite3_mutex_held(pCur->pBtree->db->mutex) ,18,18,36
theError == 0,18,18,36
 pOp->p3>0 && pOp->p3<=p->nMem ,18,18,36
 isOpen(pPager->jfd) ,18,18,36
" !ExprHasProperty(pExpr, EP_xIsSelect) ",18,18,36
 pOp->p4type==P4_INT32 ,15,15,30
