x_val,y_added,y_removed,y_combined
1,6,3,9
5,6,1,8
2,5,2,7
3,4,1,5
4,3,2,4
14,2,3,3
7,2,2,3
13,3,1,3
18,2,3,2
41,3,1,3
80,3,1,3
30,2,1,2
11,2,0,2
15,2,0,2
22,1,2,1
28,2,0,2
8,1,0,2
147,1,1,1
20,2,0,1
12,0,0,3
68,1,0,2
78,1,1,1
103,1,1,1
128,1,0,1
9,1,0,1
138,1,0,1
136,1,0,1
10,1,0,1
17,1,0,1
21,1,0,1
23,0,1,1
27,1,0,1
155,1,0,1
289,1,0,1
33,0,1,1
171,0,1,1
175,1,0,1
52,1,0,1
180,1,0,1
54,1,0,1
55,0,1,1
315,1,0,1
187,0,1,1
61,1,0,1
62,0,0,2
66,1,0,1
72,1,0,1
74,1,0,1
463,1,0,1
79,0,1,1
85,1,0,1
89,1,0,1
100,1,0,1
105,0,2,0
259,0,1,0
143,0,1,0
24,1,0,0
25,1,0,0
29,1,0,0
163,1,0,0
294,1,0,0
173,0,1,0
265,0,1,0
186,0,0,1
67,1,0,0
69,0,1,0
198,0,1,0
395,0,1,0
130,0,1,0
16,0,1,0
83,0,0,1
475,0,1,0
96,0,1,0
228,1,0,0
101,0,1,0
232,0,1,0
495,0,1,0
150,0,1,0
248,1,0,0
