x_val,y_added,y_removed,y_combined
assert,1762,735,2497
assert_d_eq,133,0,133
lua_assert,129,1,130
cassert,115,3,118
dassert,44,44,88
assert_ptr_not_null,50,0,50
assert_false,41,0,41
assert_zu_eq,35,0,35
assert_true,31,0,31
assert_u_eq,28,0,28
assert_c_eq,28,0,28
assert_ptr_eq,27,0,27
assert_ptr_null,14,0,14
assert_u32_eq,11,0,11
assert_u64_gt,11,0,11
assert_u64_eq,10,0,10
assert_zu_gt,7,0,7
assert_d_ne,7,0,7
assert_u64_le,5,0,5
assert_zu_le,5,0,5
assert_zu_ne,5,0,5
assert_u64_ge,5,0,5
assert_zd_eq,5,0,5
assert_zu_ge,5,0,5
assert_x_eq,4,0,4
assert_not_implemented,4,0,4
assert_d_le,4,0,4
ASSERT,2,0,2
assert_str_eq,2,0,2
assert_ju_eq,2,0,2
assert_str_ne,1,0,1
assert_ptr_ne,1,0,1
