x_val,y_added,y_removed,y_combined
0,10,7,17
2,6,2,7
3,4,3,5
6,4,2,4
1,3,0,5
4,3,2,2
8,3,0,4
20,2,1,2
5,1,2,1
7,2,0,2
13,2,0,2
17,1,1,2
19,2,0,2
21,2,0,2
24,2,0,2
201,1,2,1
83,2,0,2
-13,1,1,2
16,1,0,2
22,2,0,1
33,1,1,1
42,0,2,1
49,1,1,1
82,1,1,1
-16,1,1,1
-1,1,0,2
9,1,0,1
12,0,1,1
18,1,0,1
23,1,0,1
25,1,0,1
26,1,0,1
30,1,1,0
31,1,0,1
-93,1,0,1
166,1,0,1
40,0,1,1
177,1,0,1
50,1,0,1
53,0,1,1
55,0,1,1
193,1,0,1
-57,1,0,1
72,1,0,1
-52,1,0,1
91,1,0,1
97,0,1,1
106,1,0,1
-19,1,0,1
-144,1,0,1
118,0,1,1
-8,1,0,1
252,1,0,1
132,0,1,0
133,0,1,0
29,0,0,1
32,0,1,0
162,0,1,0
37,0,0,1
172,1,0,0
51,0,1,0
57,1,0,0
65,0,1,0
68,0,1,0
-51,0,1,0
86,0,0,1
217,0,1,0
98,1,0,0
99,0,1,0
100,0,1,0
-149,0,1,0
113,1,0,0
112,0,1,0
-10,1,0,0
124,1,0,0
