x_val,y_added,y_removed,y_combined
 cursorHoldsMutex(pCur) ,100,100,200
!AtEnd(),108,81,189
pPager,88,88,176
 sqlite3_mutex_held(pBt->mutex) ,84,84,168
 pFile ,84,84,168
 rc==SQLITE_OK ,84,84,168
 pOp->p1>=0 && pOp->p1<p->nCursor ,80,80,160
 assert_pager_state(pPager) ,80,80,160
 sqlite3_mutex_held(db->mutex) ,76,76,152
 sqlite3_mutex_held(pCtx->s.db->mutex) ,68,68,136
 sqlite3_mutex_held(pPage->pBt->mutex) ,68,68,136
false,88,45,133
0,64,64,128
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,56,56,112
 sqlite3_mutex_held(p->db->mutex) ,48,48,96
" !ExprHasProperty(pExpr, EP_IntValue) ",48,48,96
 p!=0 ,44,44,88
 v!=0 ,44,44,88
 argc==1 ,40,40,80
 id!=0 ,40,40,80
 (pMem->flags & MEM_RowSet)==0 ,40,40,80
 pCur->eState==CURSOR_VALID ,40,40,80
 sqlite3PagerIswriteable(pPage->pDbPage) ,40,40,80
 sqlite3_mutex_held(mem3.mutex) ,40,40,80
 !pagerUseWal(pPager) ,40,40,80
 !db->mallocFailed ,36,36,72
 db!=0 ,36,36,72
c != NULL,34,34,68
 !MEMDB ,32,32,64
 sqlite3_mutex_held(pcache1.mutex) ,32,32,64
 sqlite3BtreeHoldsMutex(p) ,32,32,64
 p->magic==VDBE_MAGIC_INIT ,32,32,64
 iDb>=0 && iDb<db->nDb ,32,32,64
 pOp->p1>=0 && pOp->p1<db->nDb ,28,28,56
 pEList!=0 ,28,28,56
 EIGHT_BYTE_ALIGNMENT(pMem) ,28,28,56
 v ,28,28,56
 rc!=SQLITE_DONE ,24,24,48
 sqlite3_mutex_held(pCur->pBtree->db->mutex) ,24,24,48
 p->nRef>0 ,24,24,48
 pWal->writeLock ,24,24,48
p,24,24,48
 pPager->errCode==SQLITE_OK ,24,24,48
 pOp->p3>0 && pOp->p3<=p->nMem ,24,24,48
 isOpen(pPager->jfd) ,24,24,48
 pPager->eState!=PAGER_ERROR ,24,24,48
" !ExprHasProperty(pExpr, EP_xIsSelect) ",24,24,48
sizeof(typename OutputByteStream::Ch) == 1,28,14,42
sizeof(typename InputByteStream::Ch) == 1,28,14,42
"statement, regex",24,18,42
 pOp->p4type==P4_INT32 ,20,20,40
 db->mallocFailed ,20,20,40
 eFileLock<=SHARED_LOCK ,20,20,40
 pPage->isInit ,20,20,40
 pTab!=0 ,20,20,40
 (p->btreeMask & (1<<pOp->p1))!=0 ,20,20,40
 p->pEList ,20,20,40
 pPager->eState==PAGER_OPEN ,20,20,40
 pH!=0 ,20,20,40
 sqlite3BtreeHoldsAllMutexes(db) ,20,20,40
IsArray(),23,12,35
IsObject(),23,12,35
 pBt!=0 ,16,16,32
 sqlite3BtreeHoldsAllMutexes(pParse->db) ,16,16,32
 nByte>0 ,16,16,32
 p->nRef==0 ,16,16,32
 p->id==SQLITE_MUTEX_FAST || p->id==SQLITE_MUTEX_RECURSIVE ,16,16,32
 pOp->p3>0 ,16,16,32
 pList!=0 ,16,16,32
 nColumn==1 ,16,16,32
 sqlite3PagerIswriteable(pParent->pDbPage) ,16,16,32
 p->inTrans==TRANS_WRITE ,16,16,32
 iDb>=0 ,16,16,32
 pParse->nErr==0 ,16,16,32
 pIn1->flags&MEM_Int ,16,16,32
 IsVirtual(pTab) ,16,16,32
 pBt->inTransaction==TRANS_WRITE ,16,16,32
 rc==SQLITE_OK || ppStmt==0 || *ppStmt==0 ,16,16,32
 pOp->p2>0 ,16,16,32
 rc!=SQLITE_OK ,16,16,32
 pTabList->nSrc==1 ,16,16,32
 pFile!=0 ,16,16,32
 argc==1 || argc==2 ,12,12,24
