x_val,y_added,y_removed,y_combined
256,1,1,1
1,1,0,2
269,1,1,1
172,1,1,1
123,1,0,2
128,1,0,1
3,1,0,1
5,1,0,1
11,0,1,1
141,1,0,1
1809,1,0,1
919,1,0,1
408,0,1,1
1435,1,0,1
155,0,1,1
34,0,1,1
1318,0,1,1
301,1,0,1
319,1,0,1
449,0,1,1
1093,0,1,1
72,1,0,1
458,1,0,1
2894,1,0,1
2900,1,0,1
86,0,1,1
3551,1,0,1
102,1,0,1
240,0,1,1
1138,0,1,1
501,1,0,1
503,1,0,1
249,0,1,1
7,0,1,0
10,0,0,1
1932,0,1,0
144,0,1,0
9621,0,1,0
35,1,0,0
292,1,0,0
2725,1,0,0
3751,0,1,0
1328,1,0,0
1587,0,0,1
52,0,0,1
698,1,0,0
1216,1,0,0
4959,0,1,0
8034,0,0,1
3813,0,1,0
371,0,1,0
8442,1,0,0
