x_val,y_added,y_removed,y_combined
assert,12477,12431,24908
RAPIDJSON_ASSERT,296,142,438
STATIC_ASSERT,211,211,422
ASSERT_PRED_FORMAT2,144,108,252
WATCHPOINT_ASSERT,84,84,168
assert_pager_state,80,80,160
COMPILE_ASSERT,84,62,146
RAPIDJSON_STATIC_ASSERT,80,40,120
rassert,22,22,44
ASSERT_PRED_FORMAT1,24,18,42
GTEST_COMPILE_ASSERT_,21,21,42
ASSERT_DEATH,24,18,42
ASSERT,16,16,32
assertCellInfo,12,12,24
expensive_assert,12,12,24
ASSERT_EXIT,12,9,21
ASSERT_PRED_FORMAT3,12,9,21
RUNTIME_ASSERT,10,10,20
assertTruncateConstraint,8,8,16
SIDESTEP_ASSERT,5,5,10
assertParentIndex,4,4,8
static_assert,5,0,5
WATCHPOINT_ASSERT_INITIALIZED,2,2,4
assertion_type_,2,2,4
