x_val,y_added,y_removed,y_combined
jclazz != nullptr,32,18,50
iter_,28,20,48
fid != nullptr,23,22,45
IsArray(),20,20,40
!empty(),23,12,35
Valid(),23,12,35
IsObject(),14,14,28
!err,16,9,25
n >= 0,17,8,25
false,14,10,24
mid != nullptr,24,0,24
n < size(),9,4,13
finalized_,9,4,13
as == bs,13,0,13
codepoint <= 0x10FFFF,6,6,12
size >= 0,8,4,12
TickersNameMap.size() == TICKER_ENUM_MAX,6,6,12
HistogramsNameMap.size() == HISTOGRAM_ENUM_MAX,6,6,12
pch == fence,8,4,12
s != NULL,6,6,12
n <= size(),6,4,10
internal_key.size() >= 8,6,4,10
len > 0,6,3,9
!AtEnd(),9,0,9
bytes > 0,5,4,9
"x == head_ || compare_(x->key, key) < 0",5,4,9
IsString(),4,4,8
level_stack_.GetSize() >= sizeof(Level),4,4,8
Base::level_stack_.GetSize() >= sizeof(typename Base::Level),4,4,8
"0, clock_gettime(detail::DEFAULT_CLOCK_ID, &start_)",4,4,8
type == kObjectType || type == kArrayType,4,4,8
type == kStringType,4,4,8
success_,4,4,8
s->list_ == this,4,3,7
!success_,3,3,6
numRemoved == 1,3,3,6
iter == iter_fence,4,2,6
"strcmp(value, ""value"") == 0",3,3,6
histogramType < HISTOGRAM_ENUM_MAX,3,3,6
count >= 0,3,3,6
tickerType < TICKER_ENUM_MAX,3,3,6
height <= kMaxHeight,3,3,6
height > 0,4,2,6
vect_ == other.vect_,6,0,6
"x == NULL || !Equal(key, x->key)",3,3,6
new_buf,4,2,6
"x == head_ || next == nullptr || KeyIsAfterNode(next->key, x)",4,2,6
!stack_.empty(),4,2,6
!rep_.empty(),3,2,5
s >= last_sequence_,3,2,5
end.tv_sec > start.tv_sec && end.tv_sec - start.tv_sec < std::numeric_limits<uint64_t>::max() / 1000000000UL,2,2,4
stream.Peek() == 'n',2,2,4
!(parseFlags & kParseInsituFlag),2,2,4
dst_ != 0,2,2,4
count >= 1,2,2,4
!Base::level_stack_.template Top<typename Base::Level>()->inArray,2,2,4
stack_.GetSize() == sizeof(ValueType),2,2,4
fp_ != 0,2,2,4
n <= 308,2,2,4
"0, clock_gettime(detail::DEFAULT_CLOCK_ID, &end)",2,2,4
ref.size() == sizeof(result.data),2,2,4
Base::level_stack_.template Top<typename Base::Level>()->inArray,2,2,4
codepoint < 0xD800 || codepoint > 0xDFFF,2,2,4
start_.tv_nsec == 0 || start_.tv_sec == 0,2,2,4
name,2,2,4
stream.Peek() == 't',2,2,4
end.tv_nsec >= start.tv_nsec,2,2,4
level_stack_.template Top<Level>()->inArray,2,2,4
flags_ & kUint64Flag,2,2,4
((uintptr_t)buffer & 3) == 0,2,2,4
compaction_input_level < inputs_.size() && compaction_input_level >= 0,2,2,4
!level_stack_.template Top<Level>()->inArray,2,2,4
!Empty(),2,2,4
type <= kNumberType,2,2,4
((uintptr_t)originalPtr & 3) == 0,2,2,4
flags_ & kIntFlag,2,2,4
index < data_.a.size,2,2,4
newBuffer != 0,2,2,4
this != &rhs,2,2,4
b >= 0 && b < numBits_,2,2,4
state_ == kExpectKey,3,1,4
start_.tv_nsec > 0 || start_.tv_sec > 0,2,2,4
n >= 8,3,1,4
!isHandlerRegistered(),2,2,4
"page_miss, 0",4,0,4
stream.Peek() == '{',2,2,4
length <= 0xFFFFFFFF,2,2,4
ret >= 1,2,2,4
target.size() >= 8,3,1,4
indentChar == ' ' || indentChar == '\t' || indentChar == '\n' || indentChar == '\r',2,2,4
flags_ & kInt64Flag,2,2,4
x,2,2,4
dynamic_cast<THeaderTransport*>(inTrans.get()) == NULL && dynamic_cast<THeaderTransport*>(outTrans.get()) == NULL,2,2,4
IsNumber(),2,2,4
operand_list,4,0,4
(flags_ & kUint64Flag) != 0,2,2,4
currentConnection_.get() == NULL,2,2,4
tickerType < MAX_NO_TICKERS,2,2,4
name.IsString(),2,2,4
size > sizeof(ChunkHeader),2,2,4
flags_ & kUintFlag,2,2,4
GetSize() >= count * sizeof(T),2,2,4
end.n_ == -1,2,2,4
"x == head_ || KeyIsAfterNode(key, x)",4,0,4
value == 1,2,2,4
DBWithTTL::SanityCheckTimestamp(iter_->value().ToString()).ok(),2,2,4
GetSize() >= sizeof(T),2,2,4
dd_->guardCount_ > 0,2,2,4
"compressed_block_miss, 0",4,0,4
IsBool(),2,2,4
stack_capacity_ > 0,2,2,4
stream.Peek() == '[',2,2,4
kNumBlocks > 0 || kTotalBits > 0,2,2,4
"0, r1",2,2,4
smallest_seqno <= largest_seqno,3,1,4
buffer != 0,2,2,4
data_.o.members != 0,2,2,4
opType < enabled_.size(),2,2,4
"0, r2",2,2,4
stream.Peek() == 'f',2,2,4
data_.o.size > 0,2,2,4
branching_factor > 0 && kBranching_ == static_cast<uint32_t>(branching_factor),2,1,3
share_table_files || !share_files_with_checksum,2,1,3
env,2,1,3
buffer && capacity_ > 0,2,1,3
right_child == get_right(index),2,1,3
merge_op,2,1,3
"prev_[0]->Next(0) == nullptr || !Equal(key, prev_[0]->Next(0)->key)",2,1,3
ok_,2,1,3
prev_[0] != head_ || (prev_height_ == 1 && GetMaxHeight() == 1),2,1,3
assert_valid_internal_key,2,1,3
"compressed_block_hit, 0",3,0,3
"page_hit, 0",3,0,3
new_value,2,1,3
t,3,0,3
0,2,1,3
(s % page_size_) == 0,2,1,3
s.ok(),2,1,3
