x_val,y_added,y_removed,y_combined
2,15,1,16
1,12,4,14
5,11,1,14
4,7,3,9
3,6,1,8
10,4,4,6
8,6,0,6
17,3,1,6
23,3,2,5
30,4,2,4
7,5,0,4
15,4,0,5
19,4,1,3
20,4,0,4
21,4,0,4
9,3,1,3
11,2,1,4
34,3,0,4
56,3,1,3
12,3,0,3
18,2,1,3
33,2,1,3
35,3,0,3
50,3,1,2
53,3,2,1
13,1,1,3
16,2,0,3
44,3,0,2
46,2,0,3
22,2,0,2
26,2,0,2
42,1,1,2
45,2,0,2
54,2,0,2
61,1,2,1
79,0,3,1
6,1,1,1
24,2,0,1
38,1,0,2
39,1,0,2
41,1,1,1
58,1,1,1
59,1,1,1
114,2,0,1
14,1,0,1
28,0,1,1
31,1,0,1
37,1,0,1
40,0,1,1
47,1,1,0
48,1,0,1
51,1,0,1
52,1,0,1
55,1,0,1
57,1,0,1
60,1,0,1
62,1,0,1
65,1,0,1
67,0,1,1
76,1,0,1
77,1,0,1
89,1,0,1
104,1,0,1
105,1,1,0
152,1,0,1
163,1,0,1
414,1,0,1
27,0,1,0
36,0,1,0
49,0,1,0
69,1,0,0
82,0,0,1
85,0,1,0
86,0,0,1
88,1,0,0
90,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
107,0,1,0
110,0,1,0
111,0,1,0
113,0,1,0
121,0,1,0
123,0,0,1
124,0,1,0
127,0,1,0
129,1,0,0
149,0,1,0
150,0,1,0
168,0,1,0
170,0,1,0
171,1,0,0
181,0,1,0
231,0,1,0
257,0,1,0
273,0,1,0
320,0,1,0
436,0,1,0
