x_val,y_added,y_removed,y_combined
0,24,5,29
1,15,4,16
6,7,3,11
5,8,3,9
4,8,3,8
11,9,1,9
7,6,3,7
9,6,1,7
13,4,3,6
8,4,1,5
12,4,1,5
14,2,4,4
17,4,2,4
10,2,3,4
-4,3,1,5
18,3,1,4
2,3,0,3
15,3,0,3
24,2,2,2
74,3,0,3
-9,3,1,2
3,1,1,3
20,2,2,1
30,2,2,1
22,2,0,2
44,1,2,1
62,2,0,2
16,1,1,2
-6,2,0,2
-2,2,0,2
19,2,0,1
23,1,2,0
33,1,1,1
41,1,1,1
-112,1,0,1
21,1,0,1
-124,1,0,1
26,1,0,1
131,1,0,1
32,1,0,1
34,1,0,1
164,1,0,1
38,0,2,0
39,1,0,1
42,0,1,1
49,1,0,1
-76,1,0,1
56,1,0,1
63,1,0,1
323,1,0,1
-53,1,0,1
-47,1,0,1
85,0,2,0
-33,1,0,1
-161,1,0,1
-31,1,0,1
-18,1,0,1
-10,1,0,1
-8,1,0,1
-7,1,0,1
-5,1,0,1
-1,1,0,1
404,0,1,0
29,0,1,0
31,1,0,0
-97,0,1,0
173,0,1,0
48,0,0,1
54,0,1,0
57,0,0,1
58,0,1,0
65,1,0,0
70,0,1,0
76,0,1,0
78,0,1,0
80,1,0,0
82,0,1,0
-19,0,0,1
