x_val,y_added,y_removed,y_combined
0,41,14,55
"KERN_SUCCESS == task_info(mach_task_self(), TASK_THREAD_TIMES_INFO, (task_info_t )&aTaskInfo, &aTaskInfoCount)",11,11,22
e,6,4,10
ctx,5,5,10
"stack > getstackbase(L, ptop) && (stack - 1)->s != NULL",6,3,9
r==0,4,4,8
ms.matchdepth == MAXCCALLS,3,3,6
context->handle!=0,3,3,6
"stack > getstackbase(L, ptop)",4,2,6
GET_OPCODE(fs->f->code[list]) == OP_JMP && (GETARG_A(fs->f->code[list]) == 0 || GETARG_A(fs->f->code[list]) >= level),3,3,6
err == sz +2,3,3,6
harbor_id != 0,3,3,6
lua->L == L,3,3,6
s->tail != NULL,3,2,5
s->type != SOCKET_TYPE_RESERVE,3,2,5
numsiblings[tree->tag] == 0,4,1,5
GET_OPCODE(fs->f->sp->code[list]) == OP_JMP && (GETARG_A(fs->f->sp->code[list]) == 0 || GETARG_A(fs->f->sp->code[list]) >= level),3,2,5
s->tail->next == NULL,3,2,5
issweepphase(g),3,2,5
node->queue == NULL,2,2,4
from->offset == 0,2,2,4
traceback_index == 1,2,2,4
from->next >= 0,2,2,4
reply[0] == ':',2,2,4
ci->top <= L->stack_last,4,0,4
type == PTYPE_RESPONSE,2,2,4
context->cb == NULL,2,2,4
msg,2,2,4
context->forward == 0 && context->forward_address == NULL,2,2,4
uv->u.l.next->u.l.prev == uv && uv->u.l.prev->u.l.next == uv,2,2,4
context,2,2,4
b->w[id].init == 0,2,2,4
blk->offset == 0,2,2,4
id < server->max_connection,2,2,4
g->gcstate == GCSpropagate,2,2,4
remote_id > 0 && remote_id <= REMOTE_MAX,2,2,4
err == sz,2,2,4
des > 0,2,2,4
harbor_id > 0,2,2,4
message->destination != 0,2,2,4
session == 0,2,2,4
type != 0,2,2,4
c->read_complete == 0,2,2,4
sz == sizeof(rmsg->destination),2,2,4
cl->nupvalues == cl->p->sizeupvalues,2,2,4
id > 0 && id <= DEFAULT_NUMBER,2,2,4
ctx->in_global_queue,2,2,4
sz < tmp->size,2,2,4
type == PTYPE_TEXT,2,2,4
err == 0,2,2,4
id == i,2,2,4
conn->uid == uid,2,2,4
session > 0 && session <= DEFAULT_NUMBER,2,2,4
sz <= 65535,2,2,4
rule->tag == TTrue,4,0,4
q->in_global == MQ_DISPATCHING,2,2,4
queue->in_global,2,2,4
destination!=0,2,2,4
sz >= 4,2,2,4
c,3,1,4
p->current == NULL,2,2,4
des != 0,2,2,4
len < 0x10000,2,2,4
diffsec>=0,2,2,4
s->tail == NULL,2,1,3
"stack == getstackbase(L, ptop)",2,1,3
new_slot[hash] == NULL,2,1,3
type == 0 && session == 0,2,1,3
"stack > getstackbase(L, ptop) && (stack - 1)->s == NULL",2,1,3
status == L->status,2,1,3
m == NULL && M->count < MAX_MODULE_TYPE,2,1,3
queue->next == NULL,2,1,3
dest != NO_JUMP,2,1,3
sz <= size-SIZEOF_LENGTH,2,1,3
argv[i][0] == '-',2,1,3
t<SPROTO_TSTRUCT,2,1,3
base <= L->top && L->top < L->stack + L->stacksize,2,1,3
e1->f == NO_JUMP,2,1,3
(s->slot_size*2 - 1) <= HANDLE_MASK,2,1,3
captop > 0,2,1,3
ctx->init,2,1,3
e1->t == NO_JUMP,2,1,3
H==NULL,2,1,3
base == ci->u.l.base,2,1,3
c->next == NULL,2,1,3
s->head == NULL,2,1,3
"stack == getstackbase(L, ptop) + 1",2,1,3
!q->flag[tail],1,1,2
(*sz & 0xffffff) == *sz,1,1,2
q->lock_session == 0,1,1,2
1 <= precision && precision <= 14,1,1,2
cl->nupvalues == cl->p->sp->sizeupvalues,2,0,2
tm != NULL || !ttistable(t),1,1,2
postable != 0,1,1,2
!isfinalized(curr),1,1,2
backtop == 0,1,1,2
"os.getenv(name), name",1,1,2
align_length <= old_length,1,1,2
q->in_global,1,1,2
g->gray == NULL,1,1,2
ret,1,1,2
gch(o)->tt != LUA_TTABLE,1,1,2
q->in_global == MQ_LOCKED,1,1,2
"os.getenv(name), \'os.getenv failed\' .. name",1,1,2
isfinalized(o),1,1,2
param[i],1,1,2
p->i.code == IChoice,1,1,2
g->sweepgc == NULL && g->sweepfin == NULL,1,1,2
type != PTYPE_SYSTEM && type != PTYPE_HARBOR,1,1,2
luai_numisnan(n) || l_mathop(fabs)(n) == HUGE_VAL,1,1,2
inst,1,1,2
ref > 0,2,0,2
p1->i.code == IAny,1,1,2
base[0].kind == Cruntime && base[0].siz == 0,1,1,2
GP(tail+1) != GP(q->head),1,1,2
c->size >= sz,1,1,2
align_length < old_length,1,1,2
!iswhite(obj2gco(g->mainthread)),1,1,2
number == 0,1,1,2
c->tail == NULL,1,1,2
s->status != STATUS_INVALID,1,1,2
"op[start - 1].i.code == IChoice && dest(op, start - 1) == target(op, i + 1)",1,1,2
isfixcheck(p + start) && iscapture(p + i),1,1,2
!isold(o) || isold(obj2gco(L)),1,1,2
len > 0,1,1,2
err == sz + header,1,1,2
c->in_epoll,1,1,2
aux <= MAXAUX,1,1,2
backtop > 0 && p->i.offset > 0,1,1,2
(p + 1)->i.code != IRet,1,1,2
code_sz == *sz,1,1,2
ls->fs->f->maxstacksize >= ls->fs->freereg && ls->fs->freereg >= ls->fs->nactvar,1,1,2
ci->u.c.k != NULL,1,1,2
!isdummy(n),1,1,2
s->status == SOCKET_POLLIN,1,1,2
!ISK(GETARG_B(inst)),1,1,2
s->head == NULL && s->tail == NULL,1,1,2
(hashcap & (hashcap-1))==0,1,1,2
cl->l.nupvalues == cl->l.p->sizeupvalues,1,1,2
!isgenerational(g),1,1,2
HARBOR != 0,1,1,2
!isblack(o) && uv->v != &uv->u.value,1,1,2
e->k == VVOID || e->k == VJMP,1,1,2
L->nny == 0,1,1,2
m->connected[id] == false,1,1,2
session,1,1,2
*narray/2 <= na && na <= *narray,1,1,2
ci->u.c.status != LUA_OK,1,1,2
t->session == 0 && session !=0,1,1,2
id > 0,1,1,2
tostore != 0,1,1,2
ttisnil(slot),2,0,2
iscollectable(t1),1,1,2
"testbit(gch(curr)->marked, SEPARATED)",1,1,2
rc >= 0,1,1,2
"!iscollectable(obj) || (righttt(obj) && !isdead(g,gcvalue(obj)))",1,1,2
(*sz & HANDLE_MASK) == *sz,1,1,2
filename != NULL,1,1,2
L->top == oci->u.l.base + getproto(ofunc)->maxstacksize,1,1,2
"ttisequal(t1, t2)",1,1,2
length == skip,1,1,2
index >=0 && index < self->max_connection,1,1,2
prealloc > sizeof(struct skynet_lalloc),1,1,2
des >= 0,1,1,2
!hasjumps(t),1,1,2
lua_gettop(L) == 1,2,0,2
(Opcode)(p - 1)->i.code == IChoice,1,1,2
hi->cap <= hashcap,1,1,2
h->connected[id] == false,1,1,2
var->k == VLOCAL || var->k == VUPVAL,1,1,2
GET_OPCODE(*ci->u.l.savedpc) == OP_EXTRAARG,2,0,2
list_uncomplete(&s->low),1,1,2
p1->i.offset != 0,1,1,2
!ttisstring(p1) && !ttisnumber(p1),1,1,2
isLua(ci),2,0,2
ls->fs != NULL || ls->t.token == TK_EOS,1,1,2
g->gcstate != GCSpause,1,1,2
origkind != KGC_EMERGENCY,1,1,2
isfixcheck(p) && (p + lc)->i.code == IChoice,1,1,2
msg[0] == 'C',1,1,2
ttistable(t) && ttisnil(oldval),1,1,2
message->type == SKYNET_SOCKET_TYPE_CONNECT,1,1,2
