x_val,y_added,y_removed,y_combined
0,45,25,61
2,9,8,11
1,8,8,10
3,3,5,7
11,4,2,5
12,3,2,2
4,2,1,3
7,1,2,3
32,2,2,2
65,2,2,2
6,2,1,2
15,1,2,2
16,2,1,2
24,1,2,2
9,1,1,2
10,1,2,1
13,1,1,2
26,2,1,1
28,1,1,2
30,2,1,1
41,2,1,1
53,2,1,1
5,0,2,1
8,1,1,1
27,2,0,1
34,1,1,1
17,1,0,1
18,1,0,1
21,1,0,1
23,1,0,1
25,1,0,1
29,1,0,1
31,0,1,1
36,0,1,1
79,0,1,1
86,1,0,1
107,0,1,1
19,0,1,0
33,0,1,0
35,0,1,0
39,0,1,0
46,0,0,1
49,0,1,0
52,1,0,0
61,0,1,0
74,0,1,0
94,1,0,0
111,1,0,0
116,0,1,0
-2,0,0,1
