x_val,y_added,y_removed,y_combined
!is_running(),13,6,19
!empty(),6,0,6
_undo_manager,3,3,6
M_pimpl,3,3,6
M_pimpl->M_buffer,3,3,6
_buffer,3,3,6
"newRevision, _next_revision",3,2,5
*this != _tree->end(),4,0,4
_replace_clipboard,2,1,3
"std::find(_callbacks.begin(), _callbacks.end(), callback) != _callbacks.end(), ""%p"", callback",2,1,3
"n, lines()",3,0,3
!attribute_stack.empty(),2,1,3
_find_clipboard,2,1,3
current != stop,3,0,3
(ch & 0xF8) != 0xF8,2,1,3
_clipboard,2,1,3
"std::find(_callbacks.begin(), _callbacks.end(), callback) == _callbacks.end(), ""%p"", callback",2,1,3
is_start(ch),1,1,2
(value & 0xFE) != 0xFE,2,0,2
isxdigit(ch),2,0,2
"last == utf8::find_safe_end(first, last)",2,0,2
templateImage,1,1,2
_yank_line_clipboard,1,1,2
!_callback,1,1,2
!is_blank(),1,1,2
[array() isKindOfClass:[NSMutableArray class]],1,1,2
column >= dist,1,0,1
value != it,1,0,1
_callbacks.empty() || AllowNonEmpty,1,0,1
"_left, 0",1,0,1
x0 <= x1 && x1 <= x2 && x2 <= x3 && y0 <= y1 && y1 <= y2 && y2 <= y3,1,0,1
(str[i] & 0xC0) == 0x80,1,0,1
"std::count(first, eol, ' ') == 2",1,0,1
helper,1,0,1
!str.empty(),1,0,1
find(pos) == end(),1,0,1
str.size() >= mb_length,1,0,1
"_index, _suggestions.size()",1,0,1
(*it & 0xC0) == 0x80,1,0,1
state == kNormal,1,0,1
"_handle, (iconv_t)-1",1,0,1
"_left, _buffer_size",1,0,1
_yank_clipboard,1,0,1
"_partial_sequence.size(), 0",1,0,1
eol != last,1,0,1
