x_val,y_added,y_removed,y_combined
view_is_displayed(view),12,9,21
0 <= view->pos.offset && view->pos.offset < view->lines,6,4,10
view->lines,5,4,9
symbol->color < ARRAY_SIZE(graph_colors),4,4,8
size > 0,4,3,7
type < line_infos,3,3,6
0 <= view->offset && view->offset < view->lines,3,3,6
lines,3,2,5
view->pos.offset <= view->pos.lineno && view->pos.lineno < view->lines,3,2,5
0 <= view->pos.lineno && view->pos.lineno < view->lines,3,2,5
flags ^ OPEN_REFRESH,3,2,5
map->size > 1,3,2,5
0 <= lineno && lineno < view->height,3,2,5
commit->graph_size < ARRAY_SIZE(commit->graph),2,2,4
type < ARRAY_SIZE(line_info),2,2,4
view->offset <= view->lineno && view->lineno <= view->lines,2,2,4
view->offset <= view->lineno && view->lineno < view->lines,2,2,4
view,2,2,4
!graph_needs_expansion(graph),2,1,3
sizeof(spaces) > TABSIZE,1,1,2
0 <= view->lineno && view->lineno < view->lines,1,1,2
symbol->color < ARRAY_SIZE(palette_colors),1,1,2
line->type == LINE_COMMIT,1,1,2
map_size > 1,1,1,2
TO_CUSTOM_COLOR_OFFSET(type) < custom_colors,1,1,2
mem,1,0,1
type < line_rules,1,0,1
color_id < ARRAY_SIZE(palette_colors),1,0,1
ARRAY_SIZE(context->cell) > context->cells,1,0,1
