x_val,y_added,y_removed,y_combined
session,38,36,74
_retu,29,29,58
_session,21,21,42
error == TOX_ERR_NEW_OK,20,12,32
0,23,6,29
_msg,11,11,22
"toxav_call_control(AliceAV, 0, TOXAV_CALL_CONTROL_TOGGLE_MUTE_AUDIO, NULL)",12,8,20
" 0, ""Failed to encode payload"" ",10,10,20
dest,9,7,16
call,10,5,15
err == paNoError,8,6,14
BobCC.state == TOXAV_CALL_STATE_END,7,6,13
BobCC.state ^ TOXAV_CALL_STATE_RECEIVING_A,6,6,12
_header_field,6,6,12
 msg ,6,6,12
BobCC.state & TOXAV_CALL_STATE_RECEIVING_A,6,6,12
_retu->csrc,6,6,12
"res > 0, ""Resolver failed: %u, %s (%x, %x)"", errno, strerror(errno)",7,4,11
"ip.family == AF_INET6, ""Expected family AF_INET6, got %u."", ip.family",5,5,10
rc == TOXAV_ERR_NEW_OK,6,4,10
"error == TOX_ERR_GET_PORT_OK, ""wrong error""",10,0,10
"tox_friend_add_norequest(m, public_key, NULL) != (uint32_t) ~0",6,3,9
error == TOXAV_ERR_NEW_OK,6,3,9
"toxav_call_control(AliceAV, 0, TOXAV_CALL_CONTROL_TOGGLE_MUTE_VIDEO, NULL)",4,4,8
_retu->decrypt_nonce,4,4,8
_session->_ext_header->_hd_ext,4,4,8
_retu->nonce_cycle,4,4,8
"!memcmp(&ip.ip6, &in6addr_loopback, sizeof(IP6)), ""Expected ::1, got %s."", ip_ntoa(&ip)",5,3,8
" memcmp(video_storage->planes[VPX_PLANE_Y], sample_payload, 10) == 0 || memcmp(video_storage->planes[VPX_PLANE_U], sample_payload, 10) == 0 || memcmp(video_storage->planes[VPX_PLANE_V], sample_payload, 10) == 0 , ""Payload from Bob is invalid""",4,4,8
"0, ""No answer!""",4,4,8
header_value,4,4,8
_retu->encrypt_nonce,4,4,8
"sizeof(c) == sizeof(m) + ENCRYPTION_PADDING * sizeof(unsigned char), ""cyphertext should be ENCRYPTION_PADDING bytes longer than plaintext""",4,4,8
"recved == 10 && memcmp(storage, sample_payload, 10) == 0, ""Payload from Alice is invalid""",4,3,7
"used >= 1, ""Wrong number of added clients""",7,0,7
BobCC.state ^ TOXAV_CALL_STATE_RECEIVING_V,3,3,6
"toxav_call_control(AliceAV, 0, TOXAV_CALL_CONTROL_PAUSE, NULL)",4,2,6
messenger,3,3,6
"tox_friend_add(Bob, address, (uint8_t *)""gentoo"", 7, NULL) != (uint32_t) ~0",4,2,6
 _call ,3,3,6
"len == sizeof(test_packet), ""wrong len %u"", len",6,0,6
_data,3,3,6
"mlen == sizeof(m) / sizeof(unsigned char), ""wrong plaintext length""",4,2,6
"0, ""AV internal error""",3,3,6
sizeof(MSICSettings) == sizeof(ToxAvCSettings),4,2,6
"clen == sizeof(c) / sizeof(unsigned char), ""wrong ciphertext length""",4,2,6
_dest,3,3,6
"toxav_call_control(AliceAV, 0, TOXAV_CALL_CONTROL_RESUME, NULL)",4,2,6
 pthread_detach(_tid) == 0 ,3,3,6
BobCC.state & TOXAV_CALL_STATE_RECEIVING_V,3,3,6
BobCC.state & (TOXAV_CALL_STATE_SENDING_A | TOXAV_CALL_STATE_SENDING_V),3,3,6
_retu->_csrc,3,3,6
av->msi_session,3,3,6
