x_val,y_added,y_removed,y_combined
1,29,19,44
2,20,6,18
5,11,6,12
3,13,4,11
4,10,4,13
7,6,4,6
8,6,2,7
6,5,3,4
10,4,4,4
9,4,1,4
15,3,2,3
12,1,3,3
14,3,1,3
28,2,1,3
32,3,1,2
48,2,2,2
11,1,3,1
20,2,1,2
30,2,1,2
46,2,1,2
51,2,0,3
13,2,1,1
18,1,1,2
29,1,0,3
38,2,0,2
16,1,1,1
45,1,1,1
59,1,1,1
63,2,0,1
82,1,1,1
102,1,1,1
110,0,2,1
141,1,0,1
152,0,2,0
25,0,2,0
26,1,0,1
34,1,0,1
37,1,0,1
40,1,0,1
44,1,0,1
49,1,0,1
47,0,1,1
53,1,0,1
57,0,1,1
58,1,0,1
69,1,0,1
72,0,2,0
74,1,0,1
79,1,0,1
83,1,1,0
87,1,0,1
95,1,0,1
139,0,1,0
155,0,1,0
166,1,0,0
170,0,1,0
43,0,0,1
136,0,1,0
52,0,1,0
62,0,1,0
70,0,1,0
73,0,0,1
85,0,1,0
86,1,0,0
90,1,0,0
103,0,1,0
112,0,1,0
