x_val,y_added,y_removed,y_combined
0,46,23,52
1,20,12,30
5,13,11,16
3,12,3,15
6,9,5,7
2,9,2,8
7,5,4,5
8,5,4,4
4,4,4,4
9,4,1,4
10,3,0,3
12,1,2,3
23,2,1,3
13,2,1,2
15,2,1,2
19,2,1,2
22,2,1,2
-1,2,1,2
14,1,1,2
11,0,2,1
20,1,1,1
25,2,0,1
35,1,2,0
50,1,1,1
-166,1,1,1
92,1,1,1
16,0,2,0
21,1,0,1
27,1,0,1
30,1,0,1
32,1,0,1
52,0,2,0
65,1,0,1
-19,1,0,1
-13,1,0,1
-3,1,0,1
-2,1,0,1
18,1,0,0
26,0,1,0
34,0,1,0
47,0,1,0
48,0,1,0
49,0,0,1
53,0,1,0
61,0,1,0
62,1,0,0
72,0,1,0
