x_val,y_added,y_removed,y_combined
c != NULL,37,21,58
c->sd > 0,37,21,58
kq > 0,15,14,29
c->recv_active,18,11,29
ep > 0,16,10,26
conn->client && !conn->proxy,19,3,22
evp > 0,14,8,22
!conn->client && !conn->proxy,20,0,20
r->request,10,8,18
msg->request,16,2,18
nevent > 0,11,6,17
evb->n_changes < evb->nevent,8,8,16
p == b->last,8,4,12
b->pos <= b->last,8,4,12
b != NULL,8,4,12
state >= SW_START && state < SW_SENTINEL,8,4,12
r->pos <= b->last,8,4,12
r->pos != NULL,8,4,12
r->type > MSG_UNKNOWN && r->type < MSG_SENTINEL,8,4,12
r->pos >= b->pos && r->pos <= b->last,8,4,12
r->vlen >= (uint32_t)(b->last - p),6,4,10
!r->redis,6,4,10
mbuf_empty(mbuf),5,5,10
!r->request,7,2,9
event != NULL,5,3,8
r->token != NULL,4,4,8
len >= 0,4,4,8
ctx->n_changes < ctx->nevent,4,4,8
p != b->last,4,4,8
!s_conn->client && !s_conn->proxy,5,2,7
!msg->request,7,0,7
evb->kq > 0,7,0,7
conn->owner != NULL,5,2,7
c_conn->client && !c_conn->proxy,5,1,6
evb->nchange < evb->nevent,6,0,6
msg->peer == NULL,6,0,6
r->retrieval,3,3,6
!STAILQ_EMPTY(&r->mhdr),3,3,6
r->storage || r->arithmetic || r->delete,3,3,6
!conn->client && conn->connected,3,2,5
conn->rmsg == NULL,4,1,5
mbuf->end - mbuf->last > 0,3,2,5
*p == '$',3,2,5
key != NULL && keylen != 0,2,2,4
ctx->nevent != 0,2,2,4
conn->smsg == NULL,4,0,4
TAILQ_EMPTY(&conn->imsg_q),4,0,4
stm->type == STATS_GAUGE,4,0,4
a->nelem != 0,4,0,4
msg->request && !msg->done,4,0,4
!pmsg->request && pmsg->peer == msg,3,1,4
evb->kq >= 0,2,2,4
fd > 0,2,2,4
stm->type == STATS_COUNTER || stm->type == STATS_GAUGE,4,0,4
nreturned <= 1,3,1,4
evb->ep >= 0,2,2,4
!c->send_active,3,1,4
STAILQ_EMPTY(&r->mhdr),2,2,4
conn->owner == NULL,4,0,4
!c->recv_active,3,1,4
!conn->connecting,2,1,3
!conn->proxy,2,1,3
conn->redis,2,1,3
mbuf->magic == MBUF_MAGIC,3,0,3
!msg->request && msg->peer != NULL,2,1,3
mbuf != NULL,2,1,3
