x_val,y_added,y_removed,y_combined
allow_macro_instructions_,287,287,574
!rd.IsZero(),152,152,304
is_valid(),79,79,158
IsValid(),65,65,130
index >= 0 && index < kNumAllocatableRegisters,61,61,122
index >= 0 && index < kMaxNumAllocatableRegisters,46,46,92
IsCodeTarget(rmode_) || rmode_ == EMBEDDED_OBJECT,44,44,88
type_ != kUninitialized,43,43,86
IsStarted(),30,30,60
kind() == FUNCTION,30,30,60
IsCodeTarget(rmode_) || rmode_ == RUNTIME_ENTRY,29,29,58
size == kInt32Size,29,29,58
(cond != al) && (cond != nv),27,27,54
(index >= 0) && (index < this->length()),26,26,52
IsCallInstruction(),25,25,50
kind() == OPTIMIZED_FUNCTION,25,25,50
IsRuntimeEntry(rmode_),24,24,48
index >= 0,24,24,48
(IsJSReturn(rmode()) && IsPatchedReturnSequence()) || (IsDebugBreakSlot(rmode()) && IsPatchedDebugBreakSlotSequence()),22,22,44
rmode_ == RelocInfo::GLOBAL_PROPERTY_CELL,21,21,42
!Done(),21,21,42
index >= 0 && index < this->length(),21,21,42
is_call_instruction(),20,20,40
rmode_ == RelocInfo::CELL,20,20,40
IsCodeTarget(rmode_) || IsRuntimeEntry(rmode_),20,20,40
IsPatchedReturnSequence(),19,19,38
rmode_ == RelocInfo::CODE_AGE_SEQUENCE,19,19,38
type_ != kUninitializedType,17,17,34
next_.literal_chars,17,17,34
code < kNumberOfRegisters,17,17,34
codegen_->info()->is_calling(),17,17,34
map() == GetHeap()->constant_pool_array_map(),17,17,34
kind() == OPTIMIZED_FUNCTION || kind() == COMPILED_STUB,16,16,32
GetMode(stub) == STORE_BUFFER_ONLY,16,16,32
"FUNCTION, kind()",16,16,32
descriptor_number < number_of_descriptors(),16,16,32
current_.literal_chars,15,15,30
frame_pointer_ != kIllegalIndex,15,15,30
!is_used_,15,15,30
lookup_type_ == DESCRIPTOR_TYPE,14,14,28
index >= 0 && index < NumAllocatableRegisters(),14,14,28
index >= 0 && index < length(),14,14,28
initialized_,14,14,28
CpuFeatures::IsSupported(f),14,14,28
R == 0 || R == 1,18,9,27
length > 0,13,13,26
rt.IsFPRegister(),13,13,26
OpBits::is_valid(Token::NUM_TOKENS),13,13,26
!IsEmpty(),12,12,24
!is_union(type),12,12,24
!handle_.is_null(),12,12,24
lsb + width <= rn.SizeInBits(),12,12,24
width >= 1,12,12,24
var != kNoVar,12,12,24
map() != Heap::fixed_cow_array_map(),12,12,24
code < kNumberOfFPRegisters,11,11,22
index < length_,11,11,22
sizeof(T) == kPointerSize,12,10,22
"IsAligned(byte_size, kPointerSize)",11,11,22
reg.is_valid(),11,11,22
lower->Is(upper),11,11,22
IsReserved(),10,10,20
static_cast<int>(NOT_CONTEXTUAL) == 0,10,10,20
0 <= value && value < 256,10,10,20
InstructionType() == kRegisterType || InstructionType() == kImmediateType,10,10,20
!IsStarted(),10,10,20
IsCodeTarget(rmode_) || IsRuntimeEntry(rmode_) || rmode_ == EMBEDDED_OBJECT || rmode_ == EXTERNAL_REFERENCE,10,10,20
map() != HEAP->fixed_cow_array_map(),10,10,20
reg.code() != 0,10,10,20
elapsed.InMicroseconds() >= 0,10,10,20
!done(),10,10,20
num_words > 0,9,9,18
kind() == STUB,9,9,18
type_ == ILLEGAL,9,9,18
*pc_ == kCallOpcode,9,9,18
!is_empty(),9,9,18
location_ != NULL,9,9,18
!GetHeap()->InNewSpace(value),9,9,18
array != NULL,9,9,18
size_in_bytes <= sizeof(T),9,9,18
IsFound(),9,9,18
!dst.is(kScratchRegister),9,9,18
is_register(),9,9,18
kHeapObjectTag == 1,10,8,18
!src1.is(src2),9,9,18
Token::IsCompareOp(token),9,9,18
LANGUAGE_END == 2,9,9,18
size_in_bytes,9,9,18
IsJSReturn(rmode()),9,9,18
!is_lazy(),9,9,18
kSmiTag == 0,14,3,17
LANGUAGE_END == 3,12,5,17
rmode_ == EXTERNAL_REFERENCE,8,8,16
IsValidOrNone(),8,8,16
codegen_->expected_safepoint_kind_ == Safepoint::kSimple,8,8,16
in_spilled_code(),8,8,16
!rt.IsZero(),8,8,16
IsPowerOf2(unit_size),8,8,16
p->is_valid(),8,8,16
has_constant_parameter_count(),8,8,16
base.Is64Bits() && !base.IsZero(),8,8,16
"AreSameSizeAndType(rt, rt2)",8,8,16
CpuFeatures::VerifyCrossCompiling(SSE2),8,8,16
type() != MEMORY,8,8,16
isolate == Isolate::Current(),8,8,16
!code_object_.is_null(),8,8,16
GetMode(stub) == mode,8,8,16
len_ == 1 || len_ == 2,8,8,16
num >= 0 && num < RegisterAllocator::kNumRegisters,8,8,16
JSArrayBuffer::kWeakFirstViewOffset == JSArrayBuffer::kWeakNextOffset + kPointerSize,8,8,16
is_binary_op_stub(),8,8,16
InstructionType() == kRegisterType,8,8,16
is_copy(),8,8,16
size >= static_cast<size_t>(Page::kPageSize),8,8,16
"ILLEGAL, type_",8,8,16
!Heap::InNewSpace(obj),8,8,16
!Heap::InNewSpace(Heap::empty_fixed_array()),8,8,16
IsComplete(),8,8,16
is_type_recording_binary_op_stub(),8,8,16
!target->IsConsString(),8,8,16
GetMode(stub) == INCREMENTAL || GetMode(stub) == INCREMENTAL_COMPACTION,8,8,16
descriptor->environment_length() + 1 == operands.length(),8,8,16
has_next(),8,8,16
instr->IsGap(),8,8,16
increase_by_value >= 0,8,8,16
labels == NULL || labels->length() > 0,7,7,14
"Isolate::Current(), isolate_",7,7,14
!value->IsTheHole(),7,7,14
codegen_->expected_safepoint_kind_ == Safepoint::kWithRegisters,7,7,14
0 <= index && index < length_,7,7,14
target()->is_keyed_load_stub(),7,7,14
descriptor->GetRegisterParameterCount() + 1 == operands.length(),7,7,14
IsCodeTarget(rmode_) || rmode_ == RUNTIME_ENTRY || rmode_ == EMBEDDED_OBJECT || rmode_ == EXTERNAL_REFERENCE,7,7,14
kind() == STUB || kind() == COMPILED_STUB || kind() == UNARY_OP_IC || kind() == BINARY_OP_IC || kind() == COMPARE_IC || kind() == TO_BOOLEAN_IC,8,6,14
index < 0,7,7,14
cpu_features_->IsSupported(f),7,7,14
0 <= index,7,7,14
!IsNone(),7,7,14
"0, kSmiTag",7,7,14
!IsTransition(),7,7,14
!reg.is(no_reg),7,7,14
obj->IsHashTable(),7,7,14
pc_ <= buffer_.length(),7,7,14
!HEAP->InNewSpace(value),7,7,14
IsInitialized(),7,7,14
buffer_pos < kBufferSize,7,7,14
IsLdrPpImmediateOffset(Memory::int32_at(pc)),6,6,12
HEAP->always_allocate_scope_depth_ == 0,6,6,12
!GetHeap()->InNewSpace(empty_array),6,6,12
target()->is_call_stub(),6,6,12
"!AreAliased(scratch0, object, address, no_reg)",6,6,12
result,6,6,12
has_operand_positions(),6,6,12
is_code_target(rmode_) || rmode_ == embedded_object,6,6,12
data_,6,6,12
op->IsUnallocated(),6,6,12
i < length(),6,6,12
is_mutable_,6,6,12
position_ < length_,6,6,12
0 <= id && id < kJSBuiltinsCount,6,6,12
Isolate::Current() == isolate_,6,6,12
RuntimeProfiler::IsEnabled(),6,6,12
heap != NULL,6,6,12
Heap::Contains(object),6,6,12
yield_kind() == DELEGATING,6,6,12
!src1.is(kScratchRegister),6,6,12
!Heap::allow_allocation(false),6,6,12
cross_compile_ == 0,6,6,12
(size == kXRegSizeInBits) || (size == kWRegSizeInBits),6,6,12
!xn.IsZero(),6,6,12
block->control_ == BasicBlock::kNone,6,6,12
lookup_type_ == DESCRIPTOR_TYPE || lookup_type_ == TRANSITION_TYPE,6,6,12
!GetHeap()->InNewSpace(GetHeap()->empty_fixed_array()),6,6,12
Smi::IsValid(value),6,6,12
0 <= tok && tok < NUM_TOKENS,6,6,12
transition_number < number_of_transitions(),6,6,12
instr->IsLdrLiteralX(),6,6,12
index < properties()->length(),6,6,12
index < GetInternalFieldCount() && index >= 0,6,6,12
other.type() == type_,6,6,12
obj->IsDictionary(),6,6,12
!Heap::InNewSpace(value),6,6,12
(kArrayIndexLengthBits > 0),6,6,12
dst.Is64Bits() && src.Is64Bits(),6,6,12
type() == FIELD,6,6,12
"!AreAliased(object_, address_, scratch1_, scratch0_)",6,6,12
number_ < map->NumberOfOwnDescriptors(),6,6,12
other->IsNumber(),6,6,12
AttributesField::is_valid(attributes),6,6,12
(reg_size == kWRegSizeInBits) || (reg_size == kXRegSizeInBits),6,6,12
isASCIIHexDigit(c),6,6,12
-1 <= index,6,6,12
size <= kSizeInBytes,6,6,12
!src2.is(kScratchRegister),6,6,12
is_compare_ic_stub(),6,6,12
!result.is_null(),6,6,12
!label->HasReplacement(),6,6,12
HasBeenSetup(),6,6,12
other.length() == length(),6,6,12
shape.type() == StringShape(this).type(),6,6,12
!current_part_.is_null(),6,6,12
has_property_,6,6,12
0 <= n && n < size_,6,6,12
Assembler::IsLdrPcImmediateOffset(Memory::int32_at(pc_)),6,6,12
op->IsStackSlot(),6,6,12
(page->RSetStart() <= rset_address && rset_address < page->RSetEnd()) || page->IsLargeObjectPage(),5,5,10
!has_pending_message_,5,5,10
IsEmbeddedObject(rmode_) || IsCodeTarget(rmode_) || IsRuntimeEntry(rmode_) || IsExternalReference(rmode_),5,5,10
index < local_count(),5,5,10
"IsRSetSet(address, offset)",5,5,10
object->map()->IsMap(),5,5,10
"Page::IsRSetSet(reinterpret_cast<Address>(current), 0)",5,5,10
static_cast<unsigned>(Smi::kMaxValue) <= std::numeric_limits<size_t>::max(),5,5,10
index < local_count_,5,5,10
HEAP->Contains(object),5,5,10
Heap::InToSpace(object),5,5,10
has_scheduled_exception(),5,5,10
is_empty(),5,5,10
has_pending_exception(),5,5,10
Page::is_rset_in_use(),5,5,10
frame_pointer() < element_count(),5,5,10
result->IsJSFunction(),5,5,10
kDoubleSize == kInt64Size,5,5,10
target()->is_load_stub(),5,5,10
!object_.handle().is_null(),5,5,10
mutex_ != NULL,5,5,10
"!IsRSetSet(address, offset)",5,5,10
"Heap::InNewSpace(object) || !Heap::InNewSpace(READ_FIELD(object, offset)) || Page::FromAddress(object->address())-> IsRegionDirty(object->address() + offset)",5,5,10
to <= length_,5,5,10
object->IsHeapObject() && HeapObject::cast(object)->map()->instance_type() == Traits::kInstanceType,5,5,10
!external_caught_exception_,5,5,10
!Serializer::enabled() || (CpuFeatures::found_by_runtime_probing_ & mask) == 0,5,5,10
IsTransition(),5,5,10
!now.IsNull(),5,5,10
heap->isolate() == Isolate::Current(),5,5,10
t != INTERCEPTOR,5,5,10
"Isolate::UncheckedCurrent(), isolate_",5,5,10
Token::IsCompareOp(op),5,5,10
recorded_ast_id_.IsNone(),5,5,10
(where ? true_target_ : false_target_)->is_bound(),5,5,10
successor_ == NULL && successor != NULL,5,5,10
cgen()->has_valid_frame(),5,5,10
offset < length_,5,5,10
!recorded_ast_id_.IsNone(),5,5,10
started_ || start_ticks_.IsNull(),5,5,10
!started_ || !start_ticks_.IsNull(),5,5,10
is_function_scope(),5,5,10
true_is_fall_through ? !true_target->is_bound() : !false_target->is_bound(),5,5,10
index < element_count(),5,5,10
lithium_position_ == -1,5,5,10
(kind & Safepoint::kWithRegisters) != 0,5,5,10
(index >= 0) && (index < NumAllocatableRegisters()),5,5,10
is_constant(),5,5,10
target()->is_store_stub(),5,5,10
type() == CALLBACKS,5,5,10
rmode_ == RelocInfo::EXTERNAL_REFERENCE,5,5,10
cc != al,5,5,10
!value_.is_null(),5,5,10
!HasBeenRegistered(),5,5,10
from < to,5,5,10
HeapObject::FromAddress(address)->IsFixedArray(),5,5,10
(mod & -4) == 0,5,5,10
!Heap::InNewSpace(Heap::null_value()),5,5,10
length == 0 || (length > 0 && data != NULL),5,5,10
IsLdrPcImmediateOffset(Memory::int32_at(pc)),5,5,10
kSmiTagSize == 1,7,3,10
size_ >= 0,5,5,10
bytes_generated < assembler_->kGap,5,5,10
map() != GetHeap()->fixed_cow_array_map(),5,5,10
HEAP->is_safe_to_read_maps(),5,5,10
kCharacterLookaheadBufferSize == 1,5,4,9
sizeof(T) == 1,5,4,9
(kSmiTagSize == 1) && (kSmiTag == 0),6,3,9
