x_val,y_added,y_removed,y_combined
1,128,96,222
2,91,55,147
3,97,55,138
4,86,51,114
5,79,43,101
6,89,39,94
7,79,36,86
8,61,33,78
9,54,33,63
11,56,31,62
10,51,25,62
13,37,30,44
12,39,22,44
14,25,24,38
18,30,15,34
15,24,16,32
19,27,14,25
20,23,15,25
21,19,20,23
16,25,13,18
17,20,11,25
22,20,12,21
25,19,12,22
23,17,14,18
24,12,15,13
26,15,12,10
32,13,10,13
27,11,13,11
28,10,12,13
29,10,11,11
34,10,12,10
33,10,8,12
35,6,12,7
37,6,10,8
30,8,9,3
42,6,8,6
31,2,12,4
36,6,6,6
39,6,5,4
47,5,5,5
38,6,5,3
44,4,6,4
49,6,3,4
59,5,4,4
64,5,5,3
43,6,3,3
45,2,6,4
83,3,3,5
46,4,4,2
50,4,1,5
51,4,3,3
55,5,2,3
57,3,4,3
41,2,4,2
63,1,4,2
48,2,2,2
53,0,4,2
77,2,2,2
80,1,4,1
120,4,0,2
137,3,1,2
54,2,1,2
56,2,2,1
65,2,1,2
66,3,1,1
67,1,3,1
69,2,2,1
76,1,3,1
84,2,1,2
111,3,0,2
125,3,0,2
40,1,2,1
68,1,2,1
81,1,2,1
121,1,2,1
132,1,1,2
177,1,1,2
209,2,1,1
52,1,2,0
60,1,1,1
61,2,0,1
78,1,1,1
86,2,0,1
87,1,1,1
91,1,1,1
92,1,1,1
93,0,2,1
102,0,1,2
113,1,1,1
119,1,1,1
141,1,1,1
157,1,1,1
165,0,2,1
169,1,1,1
187,1,1,1
220,1,1,1
256,1,1,1
267,1,1,1
338,1,1,1
62,0,2,0
71,0,2,0
72,0,1,1
73,0,2,0
88,0,2,0
89,0,2,0
95,1,0,1
96,1,1,0
98,1,0,1
101,1,1,0
105,0,2,0
106,1,0,1
108,1,0,1
624,1,0,1
116,1,0,1
122,0,1,1
142,1,0,1
148,1,0,1
151,1,0,1
153,0,1,1
170,1,1,0
174,1,0,1
176,1,0,1
179,1,0,1
180,0,1,1
181,1,0,1
190,1,0,1
194,0,2,0
197,1,0,1
201,1,0,1
226,0,1,1
233,1,0,1
308,0,1,1
862,1,0,1
562,1,0,0
58,0,1,0
75,0,1,0
90,0,1,0
99,0,1,0
100,0,1,0
103,0,1,0
109,0,1,0
110,0,1,0
114,0,1,0
115,0,1,0
124,0,1,0
126,0,1,0
127,0,1,0
128,0,1,0
133,0,0,1
135,0,1,0
541,0,0,1
163,0,1,0
680,0,1,0
175,1,0,0
184,1,0,0
702,0,1,0
198,0,1,0
199,0,1,0
204,0,1,0
208,1,0,0
223,0,1,0
239,0,1,0
244,0,0,1
263,1,0,0
266,0,1,0
284,0,1,0
285,0,1,0
294,0,0,1
298,0,1,0
299,0,0,1
301,0,1,0
313,1,0,0
324,0,0,1
330,1,0,0
337,0,1,0
339,0,1,0
341,1,0,0
348,0,1,0
865,0,1,0
382,1,0,0
394,0,1,0
963,0,1,0
501,1,0,0
