x_val,y_added,y_removed,y_combined
ASSERT,6728,6718,13446
STATIC_ASSERT,697,390,1087
ASSERT_EQ,130,130,260
SLOW_ASSERT,60,60,120
ASSERT_NOT_NULL,53,53,106
ASSERT_NE,18,18,36
ASSERT_OBJECT_SIZE,15,15,30
ASSERT_LE,14,14,28
ASSERT_FUNCTION_KIND_ORDER,18,10,28
RUNTIME_ASSERT,15,2,17
ASSERT_PAGE_ALIGNED,6,6,12
ASSERT_PAGE_OFFSET,6,6,12
ASSERT_TAG_ALIGNED,4,4,8
assertion_type_,5,3,8
ASSERT_GE,4,4,8
ASSERT_LT,4,4,8
ASSERT_MAP_PAGE_INDEX,4,4,8
ASSERT_SIZE_TAG_ALIGNED,4,4,8
static_assert,4,1,5
ASSERT_SEMISPACE_ALLOCATION_INFO,1,1,2
COMPILE_ASSERT,1,1,2
