x_val,y_added,y_removed,y_combined
0,52,52,104
!ra_used(ir),7,7,14
sz == 4 || sz == 8,5,5,10
map + nent == flinks,5,5,10
irt_isnum(t) || irt_isint(t) || irt_isaddr(t),5,5,10
sz != CTSIZE_INVALID,5,5,10
!irt_ispri(ir->t),4,4,8
irt_isint(ir->t) && st == IRT_NUM,4,4,8
irt_isint(ir->t) || irt_isu32(ir->t),4,4,8
p - page <= CALLBACK_MCODE_SIZE,4,4,8
IR(ir->op1)->o == IR_UREFC,4,4,8
ofs % sizeof(Node) == 0,4,4,8
"rset_test(as->freeset, gpr)",4,4,8
irt_type(ir->t) != st,4,4,8
ctype_isfield(ctf->info),4,4,8
!(ir->op2 & IRSLOAD_PARENT),4,4,8
parser->flags & F_CHUNKED,7,0,7
old >= g->gc.total,3,3,6
g->gc.state != GCSfinalize && g->gc.state != GCSpause,3,3,6
!irt_isnum(ir->t),3,3,6
irt_ispri(ir->t) || irt_isaddr(ir->t) || irt_isinteger(ir->t),3,3,6
ofs == 0,3,3,6
(fins->op2 & IRCONV_TRUNC),3,3,6
allow != RSET_EMPTY,3,3,6
tref_isnumber(tr),3,3,6
irt_isint(ir->t) || irt_isu32(ir->t) || irt_isaddr(ir->t),3,3,6
L->top - L->base == delta,3,3,6
uvprev(uvnext(uv)) == uv && uvnext(uvprev(uv)) == uv,3,3,6
!(ir->op2 & IRXLOAD_UNALIGNED),3,3,6
irt_isguard(t) || !(ir->op2 & IRSLOAD_TYPECHECK),3,3,6
ir->o == IR_CONV && ir->op2 == IRCONV_NUM_INT,2,2,4
"rset_test(as->freeset, gpr+1)",2,2,4
((delta + 0x02000000) >> 26) == 0,2,2,4
ir->o == IR_HIOP,2,2,4
bsz > 0 && bsz <= 8*ctype_bitcsz(info),2,2,4
irt_isnum(fleft->t),2,2,4
e->k == VNONRELOC,2,2,4
LJ_DUALNUM || !irt_isint(t) || (ir->op2 & (IRSLOAD_CONVERT|IRSLOAD_FRAME)),2,2,4
ir->o == IR_KINT || ir->o == IR_KGC || ir->o == IR_KPTR || ir->o == IR_KKPTR || ir->o == IR_KNULL,2,2,4
r != t,2,2,4
"rset_test(as->freeset, r)",2,2,4
((delta + 0x8000) >> 16) == 0,2,2,4
n == 2 || n == 4,2,2,4
k,2,2,4
ctype_isbitfield(info),2,2,4
!irt_isnil(irkey->t),2,2,4
(ir+1)->o == IR_HIOP,2,2,4
!irt_isfp(ir->t),2,2,4
ra_hasreg(r) && !ra_hasspill(ir->s),2,2,4
k != 0,2,2,4
id == 0,2,2,4
r != d,2,2,4
s->size == CTSIZE_PTR,2,2,4
ir->o == IR_TNEW || ir->o == IR_TDUP || ir->o == IR_CNEW || ir->o == IR_CNEWI,2,2,4
"traceref(J, bc_d(*pc)) == T",2,2,4
(LJ_SOFTFP ? 0 : irt_isnum(ir->t)) || irt_isint(ir->t) || irt_isaddr(ir->t),2,2,4
ir->o == IR_STRREF,2,2,4
ctype_hassize(ct->info),2,2,4
sz == CTSIZE_PTR,2,2,4
delta == (int8_t)delta,2,2,4
target - p >= -128,2,2,4
pc >= proto_bc(J->pt) && pc < proto_bc(J->pt) + J->pt->sizebc,2,2,4
tref_isfunc(tr),2,2,4
!tvisint(key),2,2,4
J->baseslot > 1,2,2,4
!LJ_SOFTFP,2,2,4
pos < 8*ctype_bitcsz(info),2,2,4
"rset_test(as->freeset, fpr)",2,2,4
ctype_isinteger(ctt->info) && ctt->size <= 4,2,2,4
startpc >= proto_bc(pt) && startpc < proto_bc(pt) + pt->sizebc,2,2,4
n >= 0 && n < 32,2,2,4
len != 0,2,2,4
cts->L,2,2,4
J->baseslot == 1,2,2,4
ra_hasreg(r),2,2,4
!(irt_isint64(ir->t) || (st == IRT_I64 || st == IRT_U64)),2,2,4
"0 && ""Shouldn't get here.""",2,1,3
e,1,1,2
nslots < LJ_MAX_JSLOTS,1,1,2
ref >= J->cur.nk && ref < J->cur.nins,1,1,2
T != NULL && J->exitno < T->nsnap,1,1,2
J->slot[fins->op1] != 0,1,1,2
id == CTID_COMPLEX_DOUBLE,1,1,2
ir->o == IR_CARG,1,1,2
op == BC_ITERL,1,1,2
irc->o == IR_CONV && irc->op2 == IRCONV_NUM_INT,1,1,2
nk <= REF_BIAS && nins >= REF_BIAS && nins < 65536,1,1,2
freenode != &G(L)->nilnode,1,1,2
d->size == CTSIZE_PTR,1,1,2
