x_val,y_added,y_removed,y_combined
0,415,408,823
 r >= 0 ,224,224,448
0 != encoder,112,112,224
0 != encoder->private_,102,102,204
0 != encoder->protected_,102,102,204
0 != object,86,86,172
0 != option_argument,84,84,168
field,72,72,144
sp != NULL,72,72,144
0 != decoder,62,62,124
0 != iterator,60,60,120
websValid(wp),59,59,118
 cursorHoldsMutex(pCur) ,56,56,112
ret != Z_STREAM_ERROR,50,50,100
0 != decoder->protected_,48,48,96
 sqlite3_mutex_held(db->mutex) ,42,42,84
 sqlite3_mutex_held(pPage->pBt->mutex) ,42,42,84
src1 == src2,42,42,84
x<8 && y<8 && x>=0 && y>=0,41,41,82
 sqlite3_mutex_held(pBt->mutex) ,40,40,80
0 != chain,40,40,80
 n > 0 ,40,40,80
 i>=0 && i<p->nCursor ,38,38,76
0 != block,38,38,76
h==8,37,37,74
 pFile ,34,34,68
 sqlite3_mutex_held(pCtx->s.db->mutex) ,34,34,68
0 != br,32,32,64
pargz_len,30,30,60
pargz,30,30,60
s->block_last_index[n]>=0,30,30,60
 sqlite3PagerIswriteable(pPage->pDbPage) ,28,28,56
wp,28,28,56
 pMem->db==0 || sqlite3_mutex_held(pMem->db->mutex) ,28,28,56
0 != decoder->private_,26,26,52
0 != br->buffer,26,26,52
 sqlite3_mutex_held(p->db->mutex) ,26,26,52
0 != iterator->file,26,26,52
buf,26,26,52
 id!=0 ,26,26,52
i>=0,26,26,52
object->type == FLAC__METADATA_TYPE_SEEKTABLE,24,24,48
tag,24,24,48
0 != filename,24,24,48
0 != src,24,24,48
data,24,24,48
0 != bw,24,24,48
 iDb>=0 && iDb<db->nDb ,24,24,48
object->type == FLAC__METADATA_TYPE_VORBIS_COMMENT,22,22,44
analyser != NULL,22,22,44
p_list != NULL,21,21,42
false,21,20,41
object->type == FLAC__METADATA_TYPE_CUESHEET,20,20,40
block->type == FLAC__METADATA_TYPE_VORBIS_COMMENT,20,20,40
(x),20,20,40
nNull==0,20,20,40
 sqlite3_mutex_held(mem3.mutex) ,20,20,40
SSCodeCvt::ok == res,20,20,40
 pC!=0 ,20,20,40
apu,20,20,40
pStream != 0,20,20,40
rq,20,20,40
PyIter_Check(it),18,18,36
 v!=0 ,18,18,36
 pCur->eState==CURSOR_VALID ,18,18,36
order > 0,18,18,36
render,18,18,36
0 != pDstA,18,18,36
SSCodeCvt::error != res,18,18,36
 !db->mallocFailed ,18,18,36
 rc==SQLITE_OK ,18,18,36
