x_val,y_added,y_removed,y_combined
1,2,3,7
6,1,3,3
5,2,1,2
2,2,0,2
7,1,1,2
27,1,2,1
54,2,0,2
72,1,1,2
87,2,0,2
133,2,1,1
251,0,2,2
3,0,1,2
1037,1,1,1
59,1,1,1
63,1,1,1
128,1,0,2
159,0,1,2
355,2,0,1
1432,1,1,1
429,0,1,2
468,1,1,1
4,0,0,2
8,0,1,1
9,0,1,1
2055,0,1,1
13,0,1,1
15,1,0,1
17,1,0,1
18,1,0,1
20,0,1,1
534,0,1,1
28,0,1,1
29,0,1,1
544,1,0,1
32,1,0,1
34,1,0,1
1059,0,1,1
37,0,1,1
43,0,1,1
58,0,1,1
61,0,1,1
73,0,1,1
79,0,1,1
85,0,1,1
91,1,0,1
97,0,1,1
98,1,0,1
610,0,1,1
96,0,1,1
104,0,1,1
106,0,1,1
118,0,1,1
122,0,1,1
123,0,1,1
144,1,0,1
145,0,2,0
154,0,1,1
158,0,1,1
160,0,1,1
162,0,1,1
171,1,0,1
691,0,1,1
194,1,0,1
1222,0,1,1
716,1,0,1
213,0,1,1
1274,1,0,1
1283,1,0,1
259,0,1,1
260,0,1,1
262,1,0,1
295,0,1,1
381,1,0,1
385,0,1,1
945,0,1,1
439,0,1,1
953,1,0,1
1988,0,1,1
459,0,1,1
474,0,1,1
476,1,0,1
1503,1,0,1
2550,0,1,1
12,0,0,1
19,0,0,1
21,0,0,1
24,0,0,1
547,0,1,0
3109,1,0,0
551,0,1,0
1060,0,0,1
1065,0,1,0
57,0,0,1
64,1,0,0
76,0,1,0
596,0,1,0
602,0,1,0
603,0,1,0
608,0,1,0
612,1,0,0
1120,0,0,1
6248,1,0,0
121,0,1,0
1662,1,0,0
136,0,0,1
140,0,0,1
146,0,0,1
152,1,0,0
1712,0,1,0
729,1,0,0
1243,0,1,0
220,0,0,1
227,0,0,1
228,1,0,0
748,0,0,1
749,1,0,0
752,0,1,0
266,1,0,0
276,0,0,1
287,0,1,0
290,0,0,1
297,1,0,0
809,1,0,0
298,0,0,1
304,0,0,1
305,0,1,0
311,0,1,0
312,1,0,0
1851,0,1,0
317,0,0,1
336,0,1,0
1364,1,0,0
855,1,0,0
863,0,1,0
870,1,0,0
1402,0,1,0
1404,1,0,0
383,0,0,1
897,1,0,0
2464,0,1,0
419,0,1,0
2493,1,0,0
961,0,0,1
463,1,0,0
494,0,0,1
