x_val,y_added,y_removed,y_combined
0,8,9,22
4,6,4,9
2,4,5,9
8,2,5,6
1,1,3,4
3,4,1,3
7,0,2,4
13,1,3,2
18,1,2,3
11,1,1,3
29,1,1,3
30,3,0,2
14,2,1,1
20,1,1,2
34,0,2,2
39,1,1,2
102,1,1,2
5,0,2,1
6,0,1,2
23,2,0,1
27,0,2,1
32,1,0,2
46,1,1,1
55,1,1,1
61,0,2,1
66,1,1,1
76,1,1,1
89,1,1,1
-9,1,1,1
15,1,0,1
17,1,0,1
145,0,1,1
19,0,2,0
22,1,0,1
-363,0,1,1
24,0,1,1
26,0,1,1
158,0,1,1
37,0,1,1
41,1,0,1
45,0,1,1
136,0,1,1
53,1,0,1
-65,0,1,1
69,0,1,1
75,0,1,1
79,1,0,1
81,0,1,1
85,0,1,1
-25,0,1,1
403,0,1,1
-17,1,0,1
-8,0,1,1
-1,0,1,1
-382,0,1,1
9,0,1,0
132,0,1,0
12,1,0,0
397,1,0,0
28,0,1,0
-99,0,1,0
35,0,1,0
31,0,0,1
38,0,1,0
40,1,0,0
420,0,0,1
427,0,1,0
-335,1,0,0
49,1,0,0
52,0,1,0
57,0,1,0
59,0,1,0
67,1,0,0
461,1,0,0
80,1,0,0
-42,0,0,1
222,1,0,0
118,0,1,0
25,0,0,1
-129,0,0,1
126,1,0,0
