x_val,y_added,y_removed,y_combined
"HYPERVISOR_mmuext_op(&op, 1, NULL, DOMID_SELF) < 0",87,121,208
direction == DMA_NONE,66,80,146
0,77,64,141
spin_is_locked(&pcidevs_lock),50,50,100
ret,53,46,99
rc,66,32,98
shadow_lock_is_acquired(d),44,44,88
skb,40,48,88
!local_irq_is_enabled(),52,26,78
"&io_request_lock, 0",37,37,74
"HYPERVISOR_mmu_update(&u, 1, NULL, DOMID_SELF) < 0",28,38,66
local_irq_is_enabled(),37,26,63
v == current,34,29,63
!shadow_mode_refcounts(d),29,31,60
vmcb,26,26,52
paging_locked_by_me(d),35,15,50
!in_irq(),29,18,47
dir == DMA_NONE,23,23,46
"HYPERVISOR_grant_table_op(GNTTABOP_map_grant_ref, &op, 1)",22,23,45
!shadow_mode_enabled(d),28,16,44
mfn_valid(mfn),26,18,44
XSM_HOOK,40,3,43
"d, RTC_IRQ",22,21,43
s,22,21,43
false,30,11,41
page == NULL,22,17,39
dev != NULL,20,18,38
"HYPERVISOR_grant_table_op(GNTTABOP_unmap_grant_ref, &op, 1)",19,19,38
!pte_none(*pte),17,21,38
shadow_locked_by_me(d),18,18,36
(bus > 255) || (dev > 31) || (func > 7) || (reg > 255),18,18,36
rw_is_locked(&pcidevs_lock),18,18,36
spin_is_locked(&d->arch.shadow_lock),21,14,35
shadow2_lock_is_acquired(d),17,17,34
XSM_TARGET,27,6,33
in_irq(),15,17,32
HYPERVISOR_event_channel_op(&op) != 0,16,16,32
a->replacementlen > a->instrlen,14,17,31
CAN_PRODUCE_PENDING_IO,15,15,30
lock->magic != SPINLOCK_MAGIC,12,16,28
xsh != NULL,14,14,28
spin_is_locked(&desc->lock),20,8,28
ret == 0,14,14,28
rw->magic != RWLOCK_MAGIC,12,16,28
!spin_is_locked(lock),12,16,28
shadow_locked_by_me(v->domain),14,14,28
"bad_range(zone, page)",12,16,28
XSM_PRIV,22,5,27
mfn_valid(smfn),20,7,27
ref != -ENOSPC,9,17,26
sflags != -1,12,12,24
!nr_requests,11,13,24
!q->batch_sectors,11,13,24
tp != NULL,12,12,24
"d, device, intx",13,11,24
spin_is_locked(&d->event_lock),17,7,24
irq >= NR_IRQ_VECTORS,10,14,24
!max_queue_sectors,11,13,24
ioaddr != NULL,12,12,24
irqs_disabled(),12,12,24
p != NULL,12,11,23
spin_is_locked(&s->lock),16,7,23
vaddr >= FIXADDR_TOP || vaddr < FIXADDR_START,11,12,23
"ahd, AHD_MODE_SCSI_MSK, AHD_MODE_SCSI_MSK",11,11,22
skb->len < skb->data_len,10,12,22
!psr_mode_is_32bit(regs->cpsr),15,7,22
pcidevs_locked(),22,0,22
skb->dev == dev,10,12,22
"HYPERVISOR_mmu_update(&u, 1, NULL) < 0",11,11,22
shadow_mode_translate(d),12,10,22
"HYPERVISOR_mmuext_op(_op, op-_op, NULL, DOMID_SELF)",8,14,22
address >= end,9,13,22
!sg[i].page,10,12,22
smp_processor_id() != 0,12,9,21
cpus_empty(cpumask),8,12,20
d == NULL,11,9,20
!spin_is_locked(&s->pics_state->lock),10,10,20
"&vm_page_queue_mtx, MA_OWNED",10,10,20
shadow2_lock_is_acquired(v->domain),10,10,20
