x_val,y_added,y_removed,y_combined
1,416,173,546
2,234,101,308
3,159,85,238
4,159,78,203
5,105,70,132
6,95,65,125
7,96,48,110
8,89,51,108
9,72,35,81
10,72,23,81
11,73,26,70
16,52,46,66
13,46,44,67
18,45,31,70
12,48,26,61
14,46,32,54
17,44,33,47
19,44,32,44
15,35,36,42
21,30,24,33
20,37,15,30
25,25,24,30
26,21,22,22
31,21,20,24
22,22,19,22
24,20,14,25
28,15,20,16
29,18,15,16
30,13,20,13
23,13,14,18
27,20,9,16
40,17,12,15
34,16,10,16
35,14,11,10
36,9,15,9
33,10,12,9
41,10,13,8
32,10,12,8
42,12,9,7
47,12,4,10
51,11,9,6
39,11,5,9
37,7,11,6
45,9,8,6
44,8,6,7
38,7,7,5
43,9,4,6
52,8,4,7
54,5,7,7
48,5,8,4
50,4,8,3
53,5,7,3
49,4,8,2
46,5,4,4
56,3,6,4
58,2,6,3
60,4,3,4
55,1,7,2
57,3,6,1
59,3,5,2
65,3,5,2
63,3,5,1
75,3,5,1
64,2,4,2
74,2,4,2
78,3,3,2
79,4,1,3
61,3,2,2
62,3,2,2
72,3,2,2
90,2,3,2
66,2,3,1
71,2,1,3
73,1,4,1
68,1,3,1
101,2,1,2
118,2,1,2
67,1,3,0
76,1,3,0
87,1,2,1
88,2,1,1
94,1,2,1
124,1,2,1
82,1,1,1
83,0,3,0
93,1,2,0
96,1,1,1
84,0,2,0
86,1,0,1
98,0,2,0
99,0,2,0
104,1,0,1
112,1,0,1
115,1,0,1
120,0,1,1
142,1,0,1
146,0,1,1
152,0,2,0
156,2,0,0
69,0,1,0
70,0,1,0
80,1,0,0
81,1,0,0
85,0,1,0
97,0,1,0
100,0,1,0
103,0,1,0
106,0,1,0
107,0,1,0
109,0,1,0
111,0,1,0
113,0,1,0
116,0,1,0
128,0,1,0
130,0,0,1
132,0,1,0
134,0,1,0
136,0,1,0
143,0,1,0
158,0,1,0
162,0,1,0
167,0,1,0
169,0,1,0
180,0,1,0
183,0,1,0
184,1,0,0
192,0,1,0
198,0,1,0
203,0,0,1
206,1,0,0
208,0,1,0
247,0,1,0
285,0,1,0
