x_val,y_added,y_removed,y_combined
0,1180,639,1533
1,273,168,314
2,161,127,189
3,114,74,127
4,99,67,113
5,84,77,88
6,90,56,91
-1,45,29,58
7,40,42,43
8,20,23,16
-2,21,13,25
9,20,21,17
10,21,22,13
13,16,17,19
11,19,15,16
12,16,18,16
-7,12,7,15
-6,13,8,13
14,11,10,12
-3,12,5,14
15,9,9,8
-8,11,3,12
17,9,7,8
18,7,7,6
19,8,7,5
16,8,3,7
-5,6,5,7
-4,7,4,7
21,4,6,7
-9,5,5,7
20,6,3,6
-14,3,3,5
-13,4,1,6
24,3,3,3
26,3,4,2
-22,4,1,4
22,3,1,4
-20,4,0,4
-17,3,2,3
-16,2,3,3
23,2,3,2
31,1,3,2
-28,2,2,2
-24,3,0,3
-10,2,1,3
27,1,2,2
30,2,1,2
-31,2,1,2
-23,1,2,2
-19,1,3,1
-12,2,1,2
29,2,0,2
33,1,2,1
35,1,2,1
36,0,3,1
42,2,1,1
59,2,0,2
-278,2,0,2
-27,3,0,1
-15,1,2,1
32,1,1,1
40,0,2,1
41,2,0,1
43,1,1,1
48,1,1,1
56,1,1,1
80,1,0,2
261,1,1,1
-153,1,1,1
-71,1,1,1
-67,2,0,1
-48,2,0,1
-43,1,1,1
-37,1,1,1
-34,2,0,1
-30,1,0,2
-21,1,1,1
-11,2,0,1
34,0,2,0
44,1,0,1
46,1,0,1
67,1,0,1
70,0,1,1
71,1,0,1
84,1,0,1
98,1,0,1
102,1,0,1
126,1,0,1
133,1,0,1
151,1,0,1
152,1,0,1
171,1,0,1
180,1,0,1
218,0,1,1
230,0,1,1
-252,1,0,1
277,1,0,1
-232,1,0,1
-226,0,1,1
-191,1,0,1
333,1,0,1
-175,1,0,1
-152,1,0,1
-136,1,0,1
-131,1,0,1
-118,0,1,1
-112,1,0,1
-102,1,0,1
-96,0,1,1
417,1,0,1
-81,0,2,0
-72,0,1,1
-70,1,0,1
-65,1,0,1
-55,1,0,1
-40,1,0,1
-551,1,0,1
-39,1,0,1
-36,0,1,1
-33,0,1,1
-32,1,0,1
-29,1,0,1
-18,0,2,0
37,1,0,0
45,0,1,0
557,0,1,0
49,0,1,0
52,0,1,0
57,0,1,0
75,1,0,0
79,0,0,1
81,0,1,0
82,1,0,0
90,0,1,0
101,0,1,0
117,0,0,1
217,1,0,0
234,1,0,0
255,0,1,0
-231,0,1,0
-225,1,0,0
-114,0,1,0
-106,0,1,0
-82,0,0,1
-79,1,0,0
-54,0,1,0
-42,0,0,1
-553,0,1,0
